referencia,ano,mes,Anomes,variacao,acumulado_ano
2021-11,2021,11,202111,0.71,12.92
2021-12,2021,12,202112,0.3,13.22
2022-01,2022,01,202201,0.64,0.64
2022-02,2022,02,202202,0.48,1.12
2022-03,2022,03,202203,0.73,1.85
2022-04,2022,04,202204,0.87,2.72
2022-05,2022,05,202205,1.49,4.21
2022-06,2022,06,202206,2.81,7.02
2022-07,2022,07,202207,1.16,8.18
2022-08,2022,08,202208,0.33,8.51
2022-09,2022,09,202209,0.1,8.61
2022-10,2022,10,202210,0.04,8.65
2022-11,2022,11,202211,0.14,8.79
2022-12,2022,12,202212,0.27,9.06
2023-01,2023,01,202301,0.32,0.32
2023-02,2023,02,202302,0.21,0.53
2023-03,2023,03,202303,0.18,0.71
2023-04,2023,04,202304,0.23,0.94
2023-05,2023,05,202305,0.4,1.34
2023-06,2023,06,202306,0.85,2.19
2023-07,2023,07,202307,0.06,2.25
2023-08,2023,08,202308,0.24,2.49
