referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2014-02,2014,02,0.69,0.56,0.77,1.07,-0.4,-0.05,0.74,0.69,5.97,0.14,0.10808000000000001,0.12012,0.04066,-0.0184,-0.0103,0.0999,0.07382999999999999,0.36417,0.007980000000000001,false,Num201402
2014-03,2014,03,0.92,1.92,0.33,0.38,0.31,1.38,0.43,0.79,0.53,-1.26,0.37056,0.051480000000000005,0.01444,0.01426,0.28428,0.058050000000000004,0.08453000000000001,0.03233,-0.07182000000000001,false,Num201403
2014-04,2014,04,0.67,1.19,0.87,0.2,0.47,0.32,1.01,0.31,0.03,0.02,0.22966999999999999,0.13572,0.0076,0.021619999999999997,0.06591999999999999,0.13635,0.03317,0.0018299999999999998,0.0011400000000000002,false,Num201404
2014-05,2014,05,0.46,0.58,0.61,1.03,0.84,-0.45,0.98,0.8,0.13,0.11,0.11194,0.09516,0.03914,0.03864,-0.09269999999999999,0.1323,0.08560000000000001,0.00793,0.00627,false,Num201405
2014-06,2014,06,0.4,-0.11,0.55,0.38,0.49,0.37,0.6,1.57,0.02,-0.02,-0.021230000000000002,0.0858,0.01444,0.022539999999999998,0.07622,0.081,0.16799,0.00122,-0.0011400000000000002,false,Num201406
2014-07,2014,07,0.01,-0.15,1.2,0.86,-0.24,-0.98,0.5,0.12,0.04,-0.79,-0.02895,0.1872,0.03268,-0.01104,-0.20187999999999998,0.0675,0.012839999999999999,0.00244,-0.04503,false,Num201407
2014-08,2014,08,0.25,-0.15,0.94,0.47,-0.15,0.33,0.41,0.09,0.43,0.1,-0.02895,0.14664,0.017859999999999997,-0.0069,0.06798,0.05535,0.00963,0.02623,0.0057,false,Num201408
2014-09,2014,09,0.57,0.78,0.77,0.34,0.57,0.63,0.33,0.39,0.18,0.13,0.15054,0.12012,0.012920000000000001,0.026219999999999997,0.12978,0.044550000000000006,0.04173,0.01098,0.007410000000000001,false,Num201409
2014-10,2014,10,0.42,0.46,0.68,0.19,0.62,0.39,0.39,0.36,0.11,-0.05,0.08878000000000001,0.10608000000000001,0.00722,0.02852,0.08034,0.05265,0.03852,0.00671,-0.00285,false,Num201410
2014-11,2014,11,0.51,0.77,0.69,-0.04,0.39,0.43,0.42,0.48,0.21,0.08,0.14861000000000002,0.10763999999999999,-0.00152,0.01794,0.08857999999999999,0.0567,0.051359999999999996,0.012809999999999998,0.004560000000000001,false,Num201411
2014-12,2014,12,0.78,1.08,0.51,0,0.85,1.38,0.47,0.7,0.07,0,0.20844000000000001,0.07956,0,0.039099999999999996,0.28428,0.06345,0.0749,0.00427,0,true,Num201412
2015-01,2015,01,1.24,1.48,2.42,-0.28,-0.69,1.83,0.32,1.68,0.31,0.15,0.28564,0.37751999999999997,-0.01064,-0.03174,0.37698,0.0432,0.17976,0.01891,0.00855,false,Num201501
2015-02,2015,02,1.22,0.81,1.22,0.87,-0.6,2.2,0.6,0.86,5.88,-0.02,0.15633000000000002,0.19032,0.03306,-0.0276,0.4532,0.081,0.09201999999999999,0.35868,-0.0011400000000000002,false,Num201502
2015-03,2015,03,1.32,1.17,5.29,0.35,0.59,0.46,0.69,0.36,0.75,-1.16,0.22580999999999998,0.82524,0.0133,0.027139999999999997,0.09476,0.09315,0.03852,0.04575,-0.06612,false,Num201503
2015-04,2015,04,0.71,0.97,0.93,0.66,0.91,0.11,1.32,0.51,0.21,0.31,0.18721,0.14508000000000001,0.02508,0.04186,0.02266,0.17820000000000003,0.05457,0.012809999999999998,0.01767,false,Num201504
2015-05,2015,05,0.74,1.37,1.22,0.36,0.61,-0.29,1.1,0.74,0.06,0.17,0.26441000000000003,0.19032,0.01368,0.028059999999999998,-0.059739999999999994,0.14850000000000002,0.07918,0.0036599999999999996,0.00969,false,Num201505
2015-06,2015,06,0.79,0.63,0.86,0.72,0.58,0.7,0.91,1.63,0.2,0.34,0.12159,0.13416,0.02736,0.02668,0.1442,0.12285000000000001,0.17440999999999998,0.0122,0.01938,false,Num201506
2015-07,2015,07,0.62,0.65,1.52,0.86,-0.31,0.15,0.84,0.61,0,0.3,0.12545,0.23712,0.03268,-0.01426,0.030899999999999997,0.1134,0.06527,0,0.0171,false,Num201507
