mes_ano,variacao_mes,acumulado_ano
Set/2020,4.34,14.3995
Out/2020,3.23,18.0947
Nov/2020,3.28,21.9682
Dez/2020,0.96,23.1391
Jan/2021,2.58,2.58
Fev/2021,2.53,5.1753
Mar/2021,2.94,8.2674
Abr/2021,1.51,9.9023
Mai/2021,4.1,14.4083
Jun/2021,0.6,15.0947
Jul/2021,0.78,15.9924
Ago/2021,0.66,16.758
Set/2021,-0.64,16.0107
Out/2021,0.64,16.7532
Nov/2021,0.02,16.7766
Dez/2021,0.87,17.7925
Jan/2022,1.82,1.82
Fev/2022,1.83,3.6833
Mar/2022,1.74,5.4874
Abr/2022,1.41,6.9748
Mai/2022,0.52,7.531
Jun/2022,0.59,8.1655
Jul/2022,0.21,8.3926
Ago/2022,-0.7,7.6339
Set/2022,-0.95,6.6113
Out/2022,-0.97,5.5772
Nov/2022,-0.56,4.986
Dez/2022,0.45,5.4584
Jan/2023,0.21,0.21
Fev/2023,-0.06,0.1499
Mar/2023,0.05,0.1999
Abr/2023,-0.95,-0.752
Mai/2023,-1.84,-2.5781
Jun/2023,-1.93,-4.4584
Jul/2023,-0.72,-5.1463
Ago/2023,-0.14,-5.2791
