mes_ano,variacao_mes,acumulado_ano
Nov/2021,0.95,9.2634
Dez/2021,0.73,10.0611
Jan/2022,0.54,0.54
Fev/2022,1.01,1.555
Mar/2022,1.62,3.2007
Abr/2022,1.06,4.2946
Mai/2022,0.47,4.7848
Jun/2022,0.67,5.4868
Jul/2022,-0.68,4.7695
Ago/2022,-0.36,4.3923
Set/2022,-0.29,4.0896
Out/2022,0.59,4.7037
Nov/2022,0.41,5.133
Dez/2022,0.62,5.7848
Jan/2023,0.53,0.53
Fev/2023,0.84,1.3745
Mar/2023,0.71,2.0942
Abr/2023,0.61,2.717
Mai/2023,0.23,2.9532
Jun/2023,-0.08,2.8709
Jul/2023,0.12,2.9943
Ago/2023,0.23,3.2312
