numero_reuniao,periodo,mes_ano,data_reuniao,inicio_vigencia,valor,vies
89,2003-10,Oct/2003,2003-10-22,2003-10-23,19,sem viés
90,2003-11,Nov/2003,2003-11-19,2003-11-20,17.5,sem viés
91,2003-12,Dec/2003,2003-12-17,2003-12-18,16.5,sem viés
92,2004-01,Jan/2004,2004-01-21,2004-01-22,16.5,sem viés
93,2004-02,Feb/2004,2004-02-18,2004-02-19,16.5,sem viés
94,2004-03,Mar/2004,2004-03-17,2004-03-18,16.25,sem viés
95,2004-04,Apr/2004,2004-04-14,2004-04-15,16,sem viés
96,2004-05,May/2004,2004-05-19,2004-05-20,16,sem viés
97,2004-06,Jun/2004,2004-06-16,2004-06-17,16,sem viés
98,2004-07,Jul/2004,2004-07-21,2004-07-22,16,sem viés
99,2004-08,Aug/2004,2004-08-18,2004-08-19,16,sem viés
100,2004-09,Sep/2004,2004-09-15,2004-09-16,16.25,sem viés
101,2004-10,Oct/2004,2004-10-20,2004-10-21,16.75,sem viés
102,2004-11,Nov/2004,2004-11-17,2004-11-18,17.25,sem viés
103,2004-12,Dec/2004,2004-12-15,2004-12-16,17.75,sem viés
104,2005-01,Jan/2005,2005-01-19,2005-01-20,18.25,sem viés
105,2005-02,Feb/2005,2005-02-16,2005-02-17,18.75,sem viés
106,2005-03,Mar/2005,2005-03-16,2005-03-17,19.25,sem viés
107,2005-04,Apr/2005,2005-04-20,2005-04-22,19.5,sem viés
108,2005-05,May/2005,2005-05-18,2005-05-19,19.75,sem viés
109,2005-06,Jun/2005,2005-06-15,2005-06-16,19.75,sem viés
110,2005-07,Jul/2005,2005-07-20,2005-07-21,19.75,sem viés
111,2005-08,Aug/2005,2005-08-17,2005-08-18,19.75,sem viés
112,2005-09,Sep/2005,2005-09-14,2005-09-15,19.5,sem viés
113,2005-10,Oct/2005,2005-10-19,2005-10-20,19,sem viés
114,2005-11,Nov/2005,2005-11-23,2005-11-24,18.5,sem viés
115,2005-12,Dec/2005,2005-12-14,2005-12-15,18,sem viés
116,2006-01,Jan/2006,2006-01-18,2006-01-19,17.25,sem viés
117,2006-03,Mar/2006,2006-03-08,2006-03-09,16.5,sem viés
118,2006-04,Apr/2006,2006-04-19,2006-04-20,15.75,sem viés
119,2006-05,May/2006,2006-05-31,2006-06-01,15.25,sem viés
120,2006-07,Jul/2006,2006-07-19,2006-07-20,14.75,sem viés
121,2006-08,Aug/2006,2006-08-30,2006-08-31,14.25,sem viés
122,2006-10,Oct/2006,2006-10-18,2006-10-19,13.75,sem viés
123,2006-11,Nov/2006,2006-11-29,2006-11-30,13.25,sem viés
124,2007-01,Jan/2007,2007-01-24,2007-01-25,13,sem viés
125,2007-03,Mar/2007,2007-03-07,2007-03-08,12.75,sem viés
126,2007-04,Apr/2007,2007-04-18,2007-04-19,12.5,sem viés
127,2007-06,Jun/2007,2007-06-06,2007-06-07,12,sem viés
128,2007-07,Jul/2007,2007-07-18,2007-07-19,11.5,sem viés
129,2007-09,Sep/2007,2007-09-05,2007-09-06,11.25,sem viés
130,2007-10,Oct/2007,2007-10-17,2007-10-18,11.25,sem viés
131,2007-12,Dec/2007,2007-12-05,2007-12-06,11.25,sem viés
132,2008-01,Jan/2008,2008-01-23,2008-01-24,11.25,sem viés
133,2008-03,Mar/2008,2008-03-05,2008-03-06,11.25,sem viés
134,2008-04,Apr/2008,2008-04-16,2008-04-17,11.75,sem viés
135,2008-06,Jun/2008,2008-06-04,2008-06-05,12.25,sem viés
136,2008-07,Jul/2008,2008-07-23,2008-07-24,13,sem viés
137,2008-09,Sep/2008,2008-09-10,2008-09-11,13.75,sem viés
138,2008-10,Oct/2008,2008-10-29,2008-10-30,13.75,sem viés
139,2008-12,Dec/2008,2008-12-10,2008-12-11,13.75,sem viés
140,2009-01,Jan/2009,2009-01-21,2009-01-22,12.75,sem viés
141,2009-03,Mar/2009,2009-03-11,2009-03-12,11.25,sem viés
142,2009-04,Apr/2009,2009-04-29,2009-04-30,10.25,sem viés
143,2009-06,Jun/2009,2009-06-10,2009-06-11,9.25,sem viés
144,2009-07,Jul/2009,2009-07-22,2009-07-23,8.75,sem viés
145,2009-09,Sep/2009,2009-09-02,2009-09-03,8.75,sem viés
146,2009-10,Oct/2009,2009-10-21,2009-10-22,8.75,sem viés
147,2009-12,Dec/2009,2009-12-09,2009-12-10,8.75,sem viés
148,2010-01,Jan/2010,2010-01-27,2010-01-28,8.75,sem viés
149,2010-03,Mar/2010,2010-03-17,2010-03-18,8.75,sem viés
150,2010-04,Apr/2010,2010-04-28,2010-04-29,9.5,sem viés
151,2010-06,Jun/2010,2010-06-09,2010-06-10,10.25,sem viés
152,2010-07,Jul/2010,2010-07-21,2010-07-22,10.75,sem viés
153,2010-09,Sep/2010,2010-09-01,2010-09-02,10.75,sem viés
154,2010-10,Oct/2010,2010-10-20,2010-10-21,10.75,sem viés
155,2010-12,Dec/2010,2010-12-08,2010-12-09,10.75,sem viés
156,2011-01,Jan/2011,2011-01-19,2011-01-20,11.25,sem viés
157,2011-03,Mar/2011,2011-03-02,2011-03-03,11.75,sem viés
158,2011-04,Apr/2011,2011-04-20,2011-04-21,12,sem viés
159,2011-06,Jun/2011,2011-06-08,2011-06-09,12.25,sem viés
160,2011-07,Jul/2011,2011-07-20,2011-07-21,12.5,sem viés
161,2011-08,Aug/2011,2011-08-31,2011-09-01,12,sem viés
162,2011-10,Oct/2011,2011-10-19,2011-10-20,11.5,sem viés
163,2011-11,Nov/2011,2011-11-30,2011-12-01,11,sem viés
164,2012-01,Jan/2012,2012-01-18,2012-01-19,10.5,sem viés
165,2012-03,Mar/2012,2012-03-07,2012-03-08,9.75,sem viés
166,2012-04,Apr/2012,2012-04-18,2012-04-19,9,sem viés
167,2012-05,May/2012,2012-05-30,2012-05-31,8.5,sem viés
168,2012-07,Jul/2012,2012-07-11,2012-07-12,8,sem viés
169,2012-08,Aug/2012,2012-08-29,2012-08-30,7.5,sem viés
170,2012-10,Oct/2012,2012-10-10,2012-10-11,7.25,sem viés
171,2012-11,Nov/2012,2012-11-28,2012-11-29,7.25,sem viés
172,2013-01,Jan/2013,2013-01-16,2013-01-17,7.25,sem viés
173,2013-03,Mar/2013,2013-03-06,2013-03-07,7.25,sem viés
174,2013-04,Apr/2013,2013-04-17,2013-04-18,7.5,sem viés
175,2013-05,May/2013,2013-05-29,2013-05-30,8,sem viés
176,2013-07,Jul/2013,2013-07-10,2013-07-11,8.5,sem viés
177,2013-08,Aug/2013,2013-08-28,2013-08-29,9,sem viés
178,2013-10,Oct/2013,2013-10-09,2013-10-10,9.5,sem viés
179,2013-11,Nov/2013,2013-11-27,2013-11-28,10,sem viés
180,2014-01,Jan/2014,2014-01-15,2014-01-16,10.5,sem viés
181,2014-02,Feb/2014,2014-02-26,2014-02-27,10.75,sem viés
182,2014-04,Apr/2014,2014-04-02,2014-04-03,11,sem viés
183,2014-05,May/2014,2014-05-28,2014-05-29,11,sem viés
184,2014-07,Jul/2014,2014-07-16,2014-07-17,11,sem viés
185,2014-09,Sep/2014,2014-09-03,2014-09-04,11,sem viés
186,2014-10,Oct/2014,2014-10-29,2014-10-30,11.25,sem viés
187,2014-12,Dec/2014,2014-12-03,2014-12-04,11.75,sem viés
188,2015-01,Jan/2015,2015-01-21,2015-01-22,12.25,sem viés
189,2015-03,Mar/2015,2015-03-04,2015-03-05,12.75,sem viés
190,2015-04,Apr/2015,2015-04-29,2015-04-30,13.25,sem viés
191,2015-06,Jun/2015,2015-06-03,2015-06-04,13.75,sem viés
192,2015-07,Jul/2015,2015-07-29,2015-07-30,14.25,sem viés
193,2015-09,Sep/2015,2015-09-02,2015-09-03,14.25,sem viés
194,2015-10,Oct/2015,2015-10-21,2015-10-22,14.25,sem viés
195,2015-11,Nov/2015,2015-11-25,2015-11-26,14.25,sem viés
196,2016-01,Jan/2016,2016-01-20,2016-01-21,14.25,sem viés
197,2016-03,Mar/2016,2016-03-02,2016-03-03,14.25,sem viés
198,2016-04,Apr/2016,2016-04-27,2016-04-28,14.25,sem viés
199,2016-06,Jun/2016,2016-06-08,2016-06-09,14.25,sem viés
200,2016-07,Jul/2016,2016-07-20,2016-07-21,14.25,sem viés
201,2016-08,Aug/2016,2016-08-31,2016-09-01,14.25,sem viés
202,2016-10,Oct/2016,2016-10-19,2016-10-20,14,sem viés
203,2016-11,Nov/2016,2016-11-30,2016-12-01,13.75,sem viés
204,2017-01,Jan/2017,2017-01-11,2017-01-12,13,sem viés
205,2017-02,Feb/2017,2017-02-22,2017-02-23,12.25,sem viés
206,2017-04,Apr/2017,2017-04-12,2017-04-13,11.25,sem viés
207,2017-05,May/2017,2017-05-31,2017-06-01,10.25,sem viés
208,2017-07,Jul/2017,2017-07-26,2017-07-27,9.25,sem viés
209,2017-09,Sep/2017,2017-09-06,2017-09-08,8.25,sem viés
210,2017-10,Oct/2017,2017-10-25,2017-10-26,7.5,sem viés
211,2017-12,Dec/2017,2017-12-06,2017-12-07,7,sem viés
212,2018-02,Feb/2018,2018-02-07,2018-02-08,6.75,sem viés
213,2018-03,Mar/2018,2018-03-21,2018-03-22,6.5,sem viés
214,2018-05,May/2018,2018-05-16,2018-05-17,6.5,sem viés
215,2018-06,Jun/2018,2018-06-20,2018-06-21,6.5,sem viés
216,2018-08,Aug/2018,2018-08-01,2018-08-02,6.5,sem viés
217,2018-09,Sep/2018,2018-09-19,2018-09-20,6.5,sem viés
218,2018-10,Oct/2018,2018-10-31,2018-11-01,6.5,sem viés
219,2018-12,Dec/2018,2018-12-12,2018-12-13,6.5,sem viés
220,2019-02,Feb/2019,2019-02-06,2019-02-07,6.5,sem viés
221,2019-03,Mar/2019,2019-03-20,2019-03-21,6.5,sem viés
222,2019-05,May/2019,2019-05-08,2019-05-09,6.5,sem viés
223,2019-06,Jun/2019,2019-06-19,2019-06-21,6.5,sem viés
224,2019-07,Jul/2019,2019-07-31,2019-08-01,6,sem viés
225,2019-09,Sep/2019,2019-09-18,2019-09-19,5.5,sem viés
226,2019-10,Oct/2019,2019-10-30,2019-10-31,5,sem viés
227,2019-12,Dec/2019,2019-12-11,2019-12-12,4.5,sem viés
228,2020-02,Feb/2020,2020-02-05,2020-02-06,4.25,sem viés
229,2020-03,Mar/2020,2020-03-18,2020-03-19,3.75,sem viés
230,2020-05,May/2020,2020-05-06,2020-05-07,3,sem viés
231,2020-06,Jun/2020,2020-06-17,2020-06-18,2.25,sem viés
232,2020-08,Aug/2020,2020-08-05,2020-08-06,2,sem viés
233,2020-09,Sep/2020,2020-09-16,2020-09-17,2,sem viés
234,2020-10,Oct/2020,2020-10-28,2020-10-29,2,sem viés
235,2020-12,Dec/2020,2020-12-09,2020-12-10,2,sem viés
236,2021-01,Jan/2021,2021-01-20,2021-01-21,2,sem viés
237,2021-03,Mar/2021,2021-03-17,2021-03-18,2.75,sem viés
238,2021-05,May/2021,2021-05-05,2021-05-06,3.5,sem viés
239,2021-06,Jun/2021,2021-06-16,2021-06-17,4.25,sem viés
240,2021-08,Aug/2021,2021-08-04,2021-08-05,5.25,sem viés
241,2021-09,Sep/2021,2021-09-22,2021-09-23,6.25,sem viés
242,2021-10,Oct/2021,2021-10-27,2021-10-28,7.75,sem viés
243,2021-12,Dec/2021,2021-12-08,2021-12-09,9.25,sem viés
244,2022-02,Feb/2022,2022-02-02,2022-02-03,10.75,sem viés
245,2022-03,Mar/2022,2022-03-16,2022-03-17,11.75,sem viés
246,2022-05,May/2022,2022-05-04,2022-05-05,12.75,sem viés
247,2022-06,Jun/2022,2022-06-15,2022-06-17,13.25,sem viés
248,2022-08,Aug/2022,2022-08-03,2022-08-04,13.75,sem viés
249,2022-09,Sep/2022,2022-09-21,2022-09-22,13.75,sem viés
250,2022-10,Oct/2022,2022-10-26,2022-10-27,13.75,sem viés
251,2022-12,Dec/2022,2022-12-07,2022-12-08,13.75,sem viés
