referencia,estado,poluente_emitido,quantidade
2018,RORAIMA,,36.97
2018,PIAUI,,863540.0099999999
2018,CEARA,,2764120.4399999995
2019,ESPIRITO SANTO,,2314914.589999983
2019,MINAS GERAIS,,4339699.529999988
2019,PARA,,209113.1700000003
2019,DISTRITO FEDERAL,,1663129898.6599994
2019,SANTA CATARINA,,1417215881.5499928
2019,AMAPA,,1714.2999999999995
2019,SERGIPE,,27474.609999999997
2019,RONDONIA,,703350104.7099997
2019,PARAIBA,,15071502.410000004
2019,RIO GRANDE DO NORTE,,6670729.569999995
2019,ACRE,,15447.470000000001
2019,PARANA,,400068.80999999965
2019,MATO GROSSO,,1921135.7300000007
2019,PERNAMBUCO,,926711.36
2019,TOCANTINS,,23588.919999999995
2019,BAHIA,,400611.6700000016
2019,MATO GROSSO DO SUL,,101283171.02000007
2019,RIO DE JANEIRO,,710127708.3399999
2019,RIO GRANDE DO SUL,,79988788.02
2019,SAO PAULO,,40127692.20000063
2019,MARANHAO,,36509.84000000001
2019,CEARA,,1872318.990000002
2019,PIAUI,,903096.7800000001
2019,ALAGOAS,,457280.33
2019,RORAIMA,,37.36
2019,GOIAS,,8402712.659999993
2019,AMAZONAS,,168011475569.74026
2020,AMAZONAS,,323710831266.60034
2020,PARAIBA,,104193.94000000002
2020,TOCANTINS,,46615.98999999999
2020,ALAGOAS,,55096.45000000001
2020,CEARA,,2248286.3199999942
2020,PIAUI,,8773.260000000002
2020,SANTA CATARINA,,1080921.5100000012
2020,BAHIA,,2256750.47
2020,RONDONIA,,45392.049999999996
2020,MATO GROSSO,,2044826.8000000014
2020,PARA,,224465.43000000043
2020,MARANHAO,,87858.68999999996
2020,PARANA,,6022369.679999965
2020,MATO GROSSO DO SUL,,1737137.7700000007
2020,DISTRITO FEDERAL,,24979.269999999982
2020,RIO GRANDE DO NORTE,,8704197.649999993
2020,RIO GRANDE DO SUL,,451784.42000000284
2020,RORAIMA,,567.56
2020,SERGIPE,,4531461.6899999995
2020,GOIAS,,9175624.960000008
2020,ACRE,,108496.20999999996
2020,PERNAMBUCO,,18102861.81000005
2020,AMAPA,,1592.4199999999996
2020,ESPIRITO SANTO,,260959.99
2020,RIO DE JANEIRO,,631651.470000001
2020,MINAS GERAIS,,3072691.3700000113
2020,SAO PAULO,,28883149.94000073
2021,AMAZONAS,,942996971.1400005
2021,RIO DE JANEIRO,,1202316.4200000006
2021,MATO GROSSO DO SUL,,527753.1300000001
2021,MARANHAO,,56689.82999999998
2021,PIAUI,,12108.830000000002
2021,GOIAS,,9512868.499999983
2021,CEARA,,1524715.8300000022
2021,RONDONIA,,34823.4
2021,ESPIRITO SANTO,,2181344.359999994
2021,SAO PAULO,,26168533.979999926
2021,RIO GRANDE DO NORTE,,12784335.249999994
2021,PERNAMBUCO,,1547940.1600000018
2021,PARANA,,1342693.2100000007
2021,RORAIMA,,30.41
2021,RIO GRANDE DO SUL,,9412804.059999907
2021,DISTRITO FEDERAL,,23517.469999999998
2021,PARA,,264642.71
2021,SERGIPE,,20673.969999999998
2021,MINAS GERAIS,,2496293.6999999834
2021,SANTA CATARINA,,2074341.8300000075
2021,MATO GROSSO,,468911.6600000001
2021,ALAGOAS,,17086.119999999995
2021,BAHIA,,2417847.0099999784
