referencia,sao_paulo,mato_grosso_do_sul,rondonia,amazonas,pernambuco,ceara,para,tocantins,sergipe,minas_gerais,rio_de_janeiro,goias,rio_grande_do_sul,espirito_santo,bahia,alagoas,distrito_federal,acre,rio_grande_do_norte,maranhao,parana,paraiba,santa_catarina,piaui,amapa,total
2013,72463351.94,1992863.36,158786.82,44409286.4,1868845.58,2244370.06,944948.48,40524.04,22199.19,19096822281.68,32537315.06,88248405,1825618.98,1650920.12,4877158.8,552473.62,284452.88,16338.69,27896.36,4138783.41,35146641.04,84962.34,5970583.54,3040.58,5927.71,19396337975.53
2014,13011726.24,1875543.09,5243973.12,228135172.88,34373673,2122693.57,364229.43,167263.71,15472.61,131806781.94,1593512.31,518033957.81,3988706.67,569395.69,20665214.91,120521.71,963668.2,16329.18,25601.76,81768435.7,80290709.44,1182730.15,4695118.09,4923.19,3062.8,1131038417.1
2015,11952436.4,254262.36,128606.83,281420098.87,275350051922.97,180735514.01,241466.74,42360.78,81980258,5826676.2,234170352.24,89716691.62,5038252.99,2349176.87,3650889.45,147926.19,14376.61,15859.74,107080.8,547832.11,76984984.35,4123890.11,769593.53,340460.47,1954.13,276330612924.32
2016,7902382.31,47931.49,150320.29,254363963.91,1479187.57,2957374.55,827122.5,204388.13,19075616.2,13217470.46,642570448.96,90104486.5,6189917.89,402108.87,671262.01,137265.32,18065.88,32783.53,86496.81,120950.68,80618740.69,60125.69,864441.07,621583.53,482.95,1122724917.67
2017,8930568.06,77657655.95,354645.82,39505.38,1791188.15,14777677.22,212532.46,209479.23,210119.48,13136625.33,2823853.42,104172308.29,55147853.65,410998.13,296141.83,208614.67,40075.56,15752.34,94075.8,31181.82,4863286.78,73238.25,1084273.38,219387.94,762.87,286801801.69
2018,10767316.68,133617860.39,315652.7,52956.95,2303906.54,2764120.45,827768.07,265337.83,32140.65,9152738.75,15779193.95,94639659.22,4522652.95,369207.89,426718.98,214894.25,2079.54,15414.17,11336295.16,31138.05,318080.54,68147.86,937856.03,863540.02,1320.87,289625998.34
2019,40127369.18,101283121.03,703350104.71,168011475569.75,926711.36,1872319,209113.18,23588.92,27474.61,4339699.53,710127708.34,8402712.66,79988788.02,2314914.59,400611.68,457280.34,1663129898.66,15447.47,6670729.57,36509.84,392707.62,15071502.41,1417215880.24,903096.79,1714.3,172768764573.74
2020,28882817.64,1737067.77,45392.05,323710831266.61,18102861.82,2248286.33,224465.44,46616,4531461.7,3072691.37,631651.48,9175624.98,451784.42,260960,2256750.48,55096.45,24979.27,108496.21,8704197.65,87858.69,6014832.56,104190.94,1080918.81,8773.26,1592.42,323798690634.22
2021,26167649.08,527683.14,34823.4,942996949.15,1547940.17,1523620.72,264642.64,42013.15,20673.97,2496293.71,1202316.42,9512868.5,9412803.9,2181344.36,2417847.01,17086.12,23517.47,21513.25,12784335.25,56689.83,1334980.47,148866.74,2074337.62,12108.83,1927.67,1016824832.48
2022,6519966.7,159507798.95,52063.24,147787293475.5,690760.87,1370589.98,187082.57,458003.35,13748.91,2294163.36,1563020.99,9791716.6,1189128.79,270616.32,5536646.41,21522.45,60593.22,5523.94,9513848.81,78273.15,6923495.55,344959.33,1118951.89,393490.35,624.46,147995200065.56
