referencia,estado,municipio,poluente_emitido,quantidade
2015,MINAS GERAIS,ITAMOGI,Material Particulado (MP),0.09
2015,PARA,IPIXUNA DO PARA,Óxidos de nitrogênio (NOx),0.2
2015,CEARA,EUSEBIO,Óxidos de enxofre (SOx),33.459999999999994
2015,MINAS GERAIS,IGUATAMA,Óxidos de nitrogênio (NOx),12.66
2015,RIO GRANDE DO SUL,SAO SEBASTIAO DO CAI,Óxidos de nitrogênio (NOx),0.21
2015,MINAS GERAIS,TRES CORACOES,Monóxido de carbono (CO),1.5
2015,MINAS GERAIS,DELTA,Material Particulado (MP),422.94
2015,BAHIA,LAGOA REAL,Material Particulado (MP),0.02
2015,RONDONIA,ITAPUA DO OESTE,Óxidos de nitrogênio (NOx),13.95
2015,GOIAS,PALMEIRAS DE GOIAS,Monóxido de carbono (CO),102.7
2015,PERNAMBUCO,BELO JARDIM,Material Particulado (MP),67.86
2015,SANTA CATARINA,BARRA VELHA,Monóxido de carbono (CO),0.04
2015,ESPIRITO SANTO,ITAGUACU,Monóxido de carbono (CO),0.2
2015,MARANHAO,AXIXA,Material Particulado (MP),0.5
2015,PERNAMBUCO,GARANHUNS,Monóxido de carbono (CO),19
2015,RIO GRANDE DO SUL,SANTA CRUZ DO SUL,Monóxido de carbono (CO),548.87
2015,GOIAS,NAZARIO,Monóxido de carbono (CO),4170.2
2015,RIO GRANDE DO SUL,BENTO GONCALVES,Material Particulado (MP),14.059999999999999
2015,ESPIRITO SANTO,SANTA LEOPOLDINA,Óxidos de enxofre (SOx),0.88
2015,ESPIRITO SANTO,SERRA,Óxidos de nitrogênio (NOx),6955.510000000002
2015,MINAS GERAIS,GUIDOVAL,Material Particulado (MP),0.13
2015,GOIAS,BARRO ALTO,Óxidos de enxofre (SOx),2467.02
2015,PARAIBA,CAMPINA GRANDE,Óxidos de nitrogênio (NOx),1683.56
2015,SAO PAULO,GUARAREMA,Óxidos de nitrogênio (NOx),57.6
2015,SAO PAULO,CATANDUVA,Óxidos de nitrogênio (NOx),1234.22
2015,RIO GRANDE DO SUL,MORRO REDONDO,Material Particulado (MP),9.93
2015,GOIAS,ANAPOLIS,Óxidos de enxofre (SOx),4132.07
2015,SAO PAULO,TAMBAU,Óxidos de nitrogênio (NOx),640000.01
2015,PARANA,ITAPEJARA D'OESTE,Monóxido de carbono (CO),62.49
2015,SANTA CATARINA,SOMBRIO,Material Particulado (MP),10
2015,RIO GRANDE DO SUL,PANAMBI,Óxidos de nitrogênio (NOx),0.2
2015,GOIAS,NOVA AURORA,Material Particulado (MP),100
2015,PARANA,ALMIRANTE TAMANDARE,Monóxido de carbono (CO),201.44
2015,SAO PAULO,VALINHOS,Óxidos de enxofre (SOx),1.4500000000000002
2015,SAO PAULO,MONTE MOR,Material Particulado (MP),9.86
2015,BAHIA,GENTIO DO OURO,Óxidos de enxofre (SOx),0.03
2015,SANTA CATARINA,SALTO VELOSO,Monóxido de carbono (CO),70.32
2015,RONDONIA,ALTO PARAISO,Monóxido de carbono (CO),0.01
2015,MATO GROSSO DO SUL,COXIM,Óxidos de enxofre (SOx),0.2
2015,ESPIRITO SANTO,SANTA LEOPOLDINA,Óxidos de nitrogênio (NOx),2.55
2015,PARAIBA,PATOS,Material Particulado (MP),0.02
2015,RIO GRANDE DO NORTE,ALTO DO RODRIGUES,Material Particulado (MP),12.8
2015,MINAS GERAIS,OLIVEIRA,Monóxido de carbono (CO),0.09000000000000001
2015,RIO DE JANEIRO,GUAPIMIRIM,Óxidos de nitrogênio (NOx),1291.08
2015,RIO GRANDE DO SUL,GRAMADO,Óxidos de nitrogênio (NOx),361.6
2015,SAO PAULO,BEBEDOURO,Monóxido de carbono (CO),0.25
2015,TOCANTINS,GUARAI,Material Particulado (MP),0.07
2015,SANTA CATARINA,FRAIBURGO,Material Particulado (MP),544.62
2015,SAO PAULO,SUZANO,Óxidos de nitrogênio (NOx),1529.86
2015,MINAS GERAIS,SABARA,Óxidos de nitrogênio (NOx),178185.5
2015,BAHIA,ITAGIMIRIM,Material Particulado (MP),15.85
2015,PARANA,FIGUEIRA,Monóxido de carbono (CO),0.25
2015,RIO DE JANEIRO,ARARUAMA,Monóxido de carbono (CO),1
2015,MINAS GERAIS,SABARA,Óxidos de enxofre (SOx),3731.9900000000002
2015,CEARA,ARACOIABA,Monóxido de carbono (CO),5
2015,SAO PAULO,GUARAREMA,Material Particulado (MP),5000.7
2015,SANTA CATARINA,SANTA CECILIA,Material Particulado (MP),10.51
2015,RIO GRANDE DO SUL,EREBANGO,Monóxido de carbono (CO),63.98
2015,SANTA CATARINA,ARAQUARI,Monóxido de carbono (CO),3063.69
2015,RIO GRANDE DO SUL,PELOTAS,Monóxido de carbono (CO),1016.41
2015,MINAS GERAIS,CARLOS CHAGAS,Material Particulado (MP),19.82
2015,SAO PAULO,JERIQUARA,Material Particulado (MP),0.2
2015,RIO GRANDE DO SUL,SEBERI,Monóxido de carbono (CO),1.6400000000000001
2015,SAO PAULO,BOTUCATU,Óxidos de enxofre (SOx),0.29
2015,PARAIBA,CAJAZEIRAS,Material Particulado (MP),0.02
2015,RIO DE JANEIRO,BARRA MANSA,Monóxido de carbono (CO),2181181.05
2015,MATO GROSSO,ARAGUAIANA,Óxidos de nitrogênio (NOx),0.01
2015,MINAS GERAIS,SAO GERALDO,Material Particulado (MP),150.02999999999997
2015,SAO PAULO,CACAPAVA,Material Particulado (MP),52.57000000000001
2015,MINAS GERAIS,NOVA LIMA,Monóxido de carbono (CO),0.01
2015,SAO PAULO,BARRA BONITA,Monóxido de carbono (CO),0
2015,PARA,NOVO PROGRESSO,Material Particulado (MP),14
2015,SAO PAULO,ANDRADINA,Material Particulado (MP),1408.41
2015,MATO GROSSO,BOM JESUS DO ARAGUAIA,Óxidos de nitrogênio (NOx),0.01
2015,MARANHAO,PORTO FRANCO,Óxidos de enxofre (SOx),0.69
2015,CEARA,MILHA,Monóxido de carbono (CO),1000
2015,SANTA CATARINA,PORTO UNIAO,Óxidos de nitrogênio (NOx),11.25
2015,RIO GRANDE DO SUL,ALVORADA,Óxidos de nitrogênio (NOx),3.05
2015,SANTA CATARINA,SCHROEDER,Óxidos de enxofre (SOx),0.01
2015,GOIAS,SAO SIMAO,Óxidos de nitrogênio (NOx),155.73
2015,RIO GRANDE DO NORTE,SAO JOSE DO SERIDO,Material Particulado (MP),0
2015,TOCANTINS,BABACULANDIA,Óxidos de enxofre (SOx),1.5
2015,SAO PAULO,ALUMINIO,Óxidos de nitrogênio (NOx),309.59
2015,MINAS GERAIS,PITANGUI,Material Particulado (MP),5.91
2015,MATO GROSSO DO SUL,SIDROLANDIA,Material Particulado (MP),51.52
2015,SAO PAULO,PENAPOLIS,Material Particulado (MP),0.4
2015,PARANA,MORRETES,Monóxido de carbono (CO),1
2015,RIO DE JANEIRO,SEROPEDICA,Óxidos de enxofre (SOx),0.61
2015,PARANA,CORONEL DOMINGOS SOARES,Monóxido de carbono (CO),28.2
2015,MATO GROSSO,VARZEA GRANDE,Óxidos de nitrogênio (NOx),31.05
2015,RIO GRANDE DO NORTE,MOSSORO,Monóxido de carbono (CO),0.5
2015,SAO PAULO,MOGI DAS CRUZES,Monóxido de carbono (CO),332986
2015,AMAZONAS,MANAUS,Óxidos de nitrogênio (NOx),50191462.209999986
2015,PERNAMBUCO,MORENO,Óxidos de nitrogênio (NOx),69.9
2015,TOCANTINS,AUGUSTINOPOLIS,Material Particulado (MP),47
2015,MINAS GERAIS,PASSA TEMPO,Material Particulado (MP),0.1
2015,BAHIA,ITAPARICA,Monóxido de carbono (CO),154.27
2015,SANTA CATARINA,ARAQUARI,Óxidos de enxofre (SOx),0.06
2015,SAO PAULO,SANTOS,Material Particulado (MP),116.47999999999999
2015,MINAS GERAIS,BELO HORIZONTE,Óxidos de nitrogênio (NOx),10.920000000000002
2015,CEARA,PACAJUS,Óxidos de enxofre (SOx),0.18
2015,MINAS GERAIS,MANHUACU,Material Particulado (MP),1.5
2015,PARANA,QUATRO BARRAS,Material Particulado (MP),6.27
2015,MINAS GERAIS,DIVINOPOLIS,Óxidos de enxofre (SOx),12.54
2015,GOIAS,FORMOSA,Óxidos de enxofre (SOx),0.01
2015,PARANA,RIO BRANCO DO SUL,Material Particulado (MP),131.42000000000002
2015,SAO PAULO,RAFARD,Óxidos de nitrogênio (NOx),615.32
2015,TOCANTINS,AGUIARNOPOLIS,Óxidos de enxofre (SOx),23.5
2015,CEARA,AQUIRAZ,Monóxido de carbono (CO),44
2015,SAO PAULO,SANTA ROSA DE VITERBO,Óxidos de enxofre (SOx),25.51
2015,ESPIRITO SANTO,AFONSO CLAUDIO,Material Particulado (MP),2.5
2015,PARA,XINGUARA,Material Particulado (MP),1
2015,PARA,ALMEIRIM,Óxidos de nitrogênio (NOx),1361.83
2015,RIO GRANDE DO NORTE,SAO GONCALO DO AMARANTE,Óxidos de enxofre (SOx),148.02
2015,RIO GRANDE DO NORTE,MACAIBA,Óxidos de enxofre (SOx),0.01
2015,SAO PAULO,ELIAS FAUSTO,Material Particulado (MP),235.73000000000002
2015,GOIAS,HIDROLANDIA,Material Particulado (MP),0.5
2015,PARANA,ARAPONGAS,Monóxido de carbono (CO),734.49
2015,SAO PAULO,PRESIDENTE EPITACIO,Óxidos de enxofre (SOx),276.86
2015,SERGIPE,CAMPO DO BRITO,Material Particulado (MP),6000
2015,GOIAS,GOIANIA,Monóxido de carbono (CO),48.04
2015,MINAS GERAIS,FORTUNA DE MINAS,Monóxido de carbono (CO),0
2015,PARANA,MAUA DA SERRA,Monóxido de carbono (CO),191.8
2015,ESPIRITO SANTO,BAIXO GUANDU,Óxidos de nitrogênio (NOx),2.56
2015,PARANA,SAO MATEUS DO SUL,Monóxido de carbono (CO),19047.78
2015,SAO PAULO,JABOTICABAL,Monóxido de carbono (CO),0.01
2015,GOIAS,ITABERAI,Material Particulado (MP),0.29
2015,SANTA CATARINA,XAXIM,Material Particulado (MP),25.19
2015,PARANA,BALSA NOVA,Óxidos de nitrogênio (NOx),1301.56
2015,PARA,NOVA IPIXUNA,Monóxido de carbono (CO),10.5
2015,PARANA,CEU AZUL,Material Particulado (MP),44.96
2015,MATO GROSSO DO SUL,APARECIDA DO TABOADO,Óxidos de nitrogênio (NOx),71.48
2015,SAO PAULO,MOGI GUACU,Material Particulado (MP),3006.4600000000005
2015,SAO PAULO,SAO JOAQUIM DA BARRA,Dióxido de enxofre,376.2
2015,GOIAS,PILAR DE GOIAS,Monóxido de carbono (CO),8050.19
2015,MINAS GERAIS,VARJAO DE MINAS,Material Particulado (MP),44
2015,PARANA,JACAREZINHO,Óxidos de nitrogênio (NOx),544.24
2015,SAO PAULO,SOROCABA,Óxidos de enxofre (SOx),1103.64
2015,BAHIA,MORTUGABA,Óxidos de nitrogênio (NOx),0.01
2015,SAO PAULO,PATROCINIO PAULISTA,Monóxido de carbono (CO),0.2
2015,MINAS GERAIS,ITUIUTABA,Óxidos de nitrogênio (NOx),469.13
2015,PARANA,TAMARANA,Óxidos de enxofre (SOx),0.34
2015,RIO GRANDE DO SUL,MUITOS CAPOES,Material Particulado (MP),0.01
2015,SAO PAULO,BRODOWSKI,Material Particulado (MP),3.16
2015,SANTA CATARINA,GUATAMBU,Material Particulado (MP),7.37
2015,PIAUI,JUAZEIRO DO PIAUI,Material Particulado (MP),0.4
2015,CEARA,ITAPAJE,Monóxido de carbono (CO),1
2015,RIO GRANDE DO SUL,LAGOA VERMELHA,Material Particulado (MP),0.01
2015,RIO GRANDE DO SUL,ALEGRETE,Material Particulado (MP),115.00999999999999
2015,PARAIBA,CONDE,Óxidos de nitrogênio (NOx),52.7
2015,ESPIRITO SANTO,MARILANDIA,Monóxido de carbono (CO),1
2015,SANTA CATARINA,MORRO DA FUMACA,Óxidos de enxofre (SOx),2.3
2015,SANTA CATARINA,SAO JOSE DO CERRITO,Material Particulado (MP),0.42
2015,BAHIA,IPIAU,Material Particulado (MP),1.5
2015,SAO PAULO,ATIBAIA,Óxidos de enxofre (SOx),0.01
2015,CEARA,QUITERIANOPOLIS,Óxidos de nitrogênio (NOx),34.02
2015,SAO PAULO,ASSIS,Óxidos de nitrogênio (NOx),0.05
2015,SAO PAULO,MAGDA,Material Particulado (MP),0.28
2015,MINAS GERAIS,FORMIGA,Monóxido de carbono (CO),5
2015,RIO GRANDE DO SUL,AGUA SANTA,Material Particulado (MP),0.01
2015,BAHIA,INHAMBUPE,Material Particulado (MP),3.61
2015,MATO GROSSO DO SUL,PARANAIBA,Monóxido de carbono (CO),262
2015,MATO GROSSO DO SUL,ANGELICA,Material Particulado (MP),280.99
2015,GOIAS,CRIXAS,Óxidos de enxofre (SOx),0.05
2015,MINAS GERAIS,BELO ORIENTE,Óxidos de nitrogênio (NOx),2400.5
2015,SANTA CATARINA,TURVO,Material Particulado (MP),100
2015,CEARA,CASCAVEL,Material Particulado (MP),132.9
2015,SANTA CATARINA,IMBITUBA,Material Particulado (MP),7.8999999999999995
2015,AMAZONAS,COARI,Óxidos de enxofre (SOx),10.82
2015,GOIAS,ORIZONA,Material Particulado (MP),5
2015,BAHIA,BELMONTE,Material Particulado (MP),6.6
2015,SAO PAULO,NOVA ODESSA,Óxidos de enxofre (SOx),18.7
2015,RONDONIA,ARIQUEMES,Monóxido de carbono (CO),5.56
2015,SAO PAULO,TAQUARITUBA,Material Particulado (MP),1.14
2015,GOIAS,CRIXAS,Monóxido de carbono (CO),289.9699999999999
2015,SAO PAULO,PLANALTO,Óxidos de nitrogênio (NOx),10.9
2015,MINAS GERAIS,CONQUISTA,Óxidos de nitrogênio (NOx),29.37
2015,PARANA,GUARAQUECABA,Monóxido de carbono (CO),0.88
2015,PARANA,BITURUNA,Monóxido de carbono (CO),16.23
2015,RIO DE JANEIRO,BELFORD ROXO,Material Particulado (MP),9.77
2015,BAHIA,RIBEIRA DO POMBAL,Material Particulado (MP),0.12
2015,SANTA CATARINA,FRAIBURGO,Óxidos de nitrogênio (NOx),0.01
2015,PARANA,TOLEDO,Óxidos de nitrogênio (NOx),126
2015,PARANA,CIDADE GAUCHA,Monóxido de carbono (CO),1322.8
2015,MATO GROSSO,AGUA BOA,Material Particulado (MP),430.47
2015,SAO PAULO,JACAREI,Material Particulado (MP),684.2499999999999
2015,BAHIA,LUIS EDUARDO MAGALHAES,Material Particulado (MP),335.84
2015,SAO PAULO,SEVERINIA,Óxidos de nitrogênio (NOx),296.93
2015,GOIAS,CACHOEIRA ALTA,Monóxido de carbono (CO),4.63
2015,PARANA,INDIANOPOLIS,Óxidos de enxofre (SOx),6.76
2015,SAO PAULO,PARAIBUNA,Óxidos de enxofre (SOx),0
2015,PARANA,GUAIRA,Material Particulado (MP),7.53
2015,SAO PAULO,MAIRIPORA,Material Particulado (MP),0.2
2015,PARANA,BANDEIRANTES,Óxidos de nitrogênio (NOx),121.8
2015,MINAS GERAIS,SAO LOURENCO,Material Particulado (MP),32.23
2015,MINAS GERAIS,ITATIAIUCU,Material Particulado (MP),0.07
2015,PIAUI,ILHA GRANDE,Material Particulado (MP),1450
2015,SANTA CATARINA,SAO JOSE,Material Particulado (MP),313.21999999999997
2015,SAO PAULO,COSMOPOLIS,Óxidos de nitrogênio (NOx),1383.6399999999999
2015,BAHIA,CAMACARI,Monóxido de carbono (CO),616147.6100000001
2015,RIO GRANDE DO NORTE,LAJES PINTADAS,Óxidos de enxofre (SOx),0
2015,MATO GROSSO,NOBRES,Material Particulado (MP),14.54
2015,SAO PAULO,RANCHARIA,Óxidos de nitrogênio (NOx),2.25
2015,ACRE,ASSIS BRASIL,Material Particulado (MP),10
2015,SAO PAULO,OUROESTE,Óxidos de nitrogênio (NOx),154.99
2015,RIO GRANDE DO NORTE,NATAL,Óxidos de nitrogênio (NOx),394.32
2015,PARAIBA,SANTA RITA,Óxidos de nitrogênio (NOx),141.14
2015,ESPIRITO SANTO,ANCHIETA,Material Particulado (MP),2319.6099999999997
2015,SAO PAULO,SEBASTIANOPOLIS DO SUL,Óxidos de nitrogênio (NOx),774.88
2015,ESPIRITO SANTO,DOMINGOS MARTINS,Óxidos de nitrogênio (NOx),81
2015,MINAS GERAIS,PASSA QUATRO,Óxidos de nitrogênio (NOx),37.05
2015,PARANA,PORECATU,Monóxido de carbono (CO),3
2015,RIO GRANDE DO SUL,CAPIVARI DO SUL,Óxidos de enxofre (SOx),0.01
2015,CEARA,IGUATU,Monóxido de carbono (CO),69.89
2015,ESPIRITO SANTO,MARECHAL FLORIANO,Material Particulado (MP),3.4400000000000004
2015,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,Óxidos de nitrogênio (NOx),35.18
2015,PARANA,MAUA DA SERRA,Material Particulado (MP),36
2015,SANTA CATARINA,ICARA,Material Particulado (MP),24762.559999999998
2015,RIO DE JANEIRO,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),26901.239999999998
2015,CEARA,BARBALHA,Óxidos de enxofre (SOx),0.02
2015,RIO DE JANEIRO,ITAGUAI,Material Particulado (MP),128
2015,CEARA,SAO BENEDITO,Material Particulado (MP),0
2015,MINAS GERAIS,LAJINHA,Material Particulado (MP),0.01
2015,BAHIA,CONCEICAO DO COITE,Material Particulado (MP),265
2015,PARANA,PONTA GROSSA,Monóxido de carbono (CO),801241.6900000001
2015,MINAS GERAIS,TABULEIRO,Material Particulado (MP),22.13
2015,SERGIPE,NOSSA SENHORA DO SOCORRO,Óxidos de enxofre (SOx),3.23
2015,MINAS GERAIS,SANTA RITA DO SAPUCAI,Desperdício e resíduos de estanho,0.05
2015,BAHIA,BRUMADO,Material Particulado (MP),7004.210000000001
2015,PARANA,IMBAU,Material Particulado (MP),0.01
2015,MINAS GERAIS,BARROSO,Óxidos de enxofre (SOx),10.96
2015,SAO PAULO,DIADEMA,Outros óxidos de chumbo,0.03
2015,MINAS GERAIS,POCOS DE CALDAS,Monóxido de carbono (CO),588.53
2015,RIO DE JANEIRO,PORTO REAL,Material Particulado (MP),42.99
2015,PARANA,IRATI,Monóxido de carbono (CO),55.64
2015,BAHIA,IGAPORA,Óxidos de nitrogênio (NOx),0.01
2015,ACRE,TARAUACA,Material Particulado (MP),15
2015,TOCANTINS,COLINAS DO TOCANTINS,Material Particulado (MP),7.25
2015,RIO GRANDE DO SUL,MANOEL VIANA,Material Particulado (MP),2.74
2015,PARANA,NOVA ESPERANCA,Material Particulado (MP),0.04
2015,SERGIPE,LARANJEIRAS,Monóxido de carbono (CO),20903578.21
2015,SAO PAULO,BARRA DO TURVO,Monóxido de carbono (CO),0.62
2015,SAO PAULO,ITAPUI,Material Particulado (MP),9
2015,BAHIA,ITAPETINGA,Material Particulado (MP),4.640000000000001
2015,RIO GRANDE DO SUL,ITAARA,Óxidos de nitrogênio (NOx),0.49
2015,GOIAS,ALEXANIA,Material Particulado (MP),0.01
2015,SAO PAULO,SALTO,Óxidos de nitrogênio (NOx),11.620000000000001
2015,MINAS GERAIS,LAGOA DA PRATA,Material Particulado (MP),1233.3200000000002
2015,PIAUI,TERESINA,Material Particulado (MP),15.829999999999998
2015,PARANA,CASTRO,Monóxido de carbono (CO),5053.17
2015,SAO PAULO,TANABI,Material Particulado (MP),1422.71
2015,PARANA,ITAPERUCU,Material Particulado (MP),0.1
2015,MINAS GERAIS,FRUTAL,Óxidos de enxofre (SOx),3.32
2015,SAO PAULO,PIACATU,Material Particulado (MP),1.8
2015,MARANHAO,SANTO ANTONIO DOS LOPES,Monóxido de carbono (CO),1178.4099999999999
2015,GOIAS,CALDAS NOVAS,Material Particulado (MP),0.1
2015,PARANA,CANDOI,Material Particulado (MP),17
2015,SAO PAULO,INDAIATUBA,Óxidos de enxofre (SOx),15.81
2015,SAO PAULO,VINHEDO,Óxidos de nitrogênio (NOx),6.12
2015,PARA,JURUTI,Óxidos de enxofre (SOx),5.41
2015,GOIAS,CATALAO,Material Particulado (MP),210.68
2015,PERNAMBUCO,VICENCIA,Óxidos de enxofre (SOx),177
2015,MINAS GERAIS,UBERABA,Monóxido de carbono (CO),100
2015,PARA,SAO MIGUEL DO GUAMA,Material Particulado (MP),0.05
2015,TOCANTINS,BURITI DO TOCANTINS,Monóxido de carbono (CO),75.12
2015,GOIAS,CATALAO,Óxidos de nitrogênio (NOx),142.06
2015,PERNAMBUCO,CABO DE SANTO AGOSTINHO,Óxidos de nitrogênio (NOx),14533.819999999998
2015,SAO PAULO,ITAPETININGA,Óxidos de nitrogênio (NOx),99.5
2015,MINAS GERAIS,MOEMA,Material Particulado (MP),45
2015,RIO GRANDE DO SUL,SAO JERONIMO,Óxidos de nitrogênio (NOx),0.82
2015,RIO GRANDE DO SUL,URUGUAIANA,Material Particulado (MP),70.08
2015,MINAS GERAIS,FRUTAL,Material Particulado (MP),982.69
2015,MINAS GERAIS,TRES MARIAS,Óxidos de enxofre (SOx),209.21999999999997
2015,BAHIA,RIACHAO DAS NEVES,Material Particulado (MP),0.01
2015,SAO PAULO,CERQUILHO,Material Particulado (MP),0.18000000000000002
2015,SAO PAULO,MOGI DAS CRUZES,Óxidos de nitrogênio (NOx),4197.42
2015,MINAS GERAIS,TRES CORACOES,Material Particulado (MP),1617.01
2015,RONDONIA,SANTA LUZIA D'OESTE,Monóxido de carbono (CO),140
2015,SAO PAULO,CANDIDO MOTA,Material Particulado (MP),13
2015,PARANA,TOLEDO,Monóxido de carbono (CO),478.40999999999997
2015,GOIAS,GUAPO,Material Particulado (MP),0.5
2015,RIO GRANDE DO SUL,PANAMBI,Óxidos de enxofre (SOx),0.05
2015,SAO PAULO,SANTO ANTONIO DA ALEGRIA,Monóxido de carbono (CO),5.7
2015,RIO GRANDE DO SUL,ILOPOLIS,Monóxido de carbono (CO),1274.6
2015,CEARA,BREJO SANTO,Monóxido de carbono (CO),0.03
2015,SAO PAULO,PEDREGULHO,Monóxido de carbono (CO),19.88
2015,PARANA,FAXINAL,Monóxido de carbono (CO),26.3
2015,SANTA CATARINA,ARMAZEM,Monóxido de carbono (CO),14
2015,MARANHAO,PORTO FRANCO,Óxidos de nitrogênio (NOx),0.06
2015,MINAS GERAIS,TIMOTEO,Material Particulado (MP),309930.41000000003
2015,TOCANTINS,ARAGUATINS,Material Particulado (MP),3.27
2015,GOIAS,RIO VERDE,Óxidos de enxofre (SOx),44.28999999999999
2015,RIO GRANDE DO NORTE,MACAIBA,Óxidos de nitrogênio (NOx),0.01
2015,PARANA,SARANDI,Monóxido de carbono (CO),7.92
2015,MINAS GERAIS,NOVO CRUZEIRO,Material Particulado (MP),0.01
2015,SAO PAULO,JAGUARIUNA,Material Particulado (MP),1051.56
2015,SAO PAULO,MONTE APRAZIVEL,Material Particulado (MP),14.14
2015,SAO PAULO,UCHOA,Material Particulado (MP),1
2015,SAO PAULO,IACANGA,Material Particulado (MP),305.48
2015,SAO PAULO,CARAGUATATUBA,Material Particulado (MP),13.87
2015,TOCANTINS,MIRANORTE,Monóxido de carbono (CO),280
2015,SAO PAULO,ITAPOLIS,Óxidos de nitrogênio (NOx),24.85
2015,SAO PAULO,BARRA BONITA,Óxidos de nitrogênio (NOx),728.1600000000001
2015,MINAS GERAIS,IJACI,Material Particulado (MP),1667.3
2015,CEARA,CAUCAIA,Monóxido de carbono (CO),317.31
2015,TOCANTINS,BABACULANDIA,Material Particulado (MP),2
2015,SAO PAULO,PIRASSUNUNGA,Monóxido de carbono (CO),1237.2
2015,SAO PAULO,DIADEMA,Cloro,0.05
2015,SAO PAULO,COTIA,Monóxido de carbono,0.08
2015,SANTA CATARINA,SAO CRISTOVAO DO SUL,Monóxido de carbono (CO),33600.28
2015,MINAS GERAIS,PATOS DE MINAS,Óxidos de nitrogênio (NOx),8.11
2015,RIO GRANDE DO NORTE,ARES,Monóxido de carbono (CO),25600.51
2015,MINAS GERAIS,ALVINOPOLIS,Material Particulado (MP),0.3
2015,MATO GROSSO,GUARANTA DO NORTE,Monóxido de carbono (CO),0.02
2015,MINAS GERAIS,CAMPO BELO,Monóxido de carbono (CO),6.3
2015,SANTA CATARINA,RIO NEGRINHO,Material Particulado (MP),104.21000000000001
2015,MINAS GERAIS,OURO PRETO,Material Particulado (MP),657.2299999999999
2015,TOCANTINS,WANDERLANDIA,Material Particulado (MP),2.5
2015,SANTA CATARINA,GRAVATAL,Monóxido de carbono (CO),0.1
2015,MATO GROSSO,PORTO ESPERIDIAO,Monóxido de carbono (CO),4.28
2015,SANTA CATARINA,SANTA TEREZINHA,Material Particulado (MP),1.27
2015,SANTA CATARINA,JAGUARUNA,Material Particulado (MP),64.1
2015,SAO PAULO,COLOMBIA,Material Particulado (MP),529.11
2015,TOCANTINS,PALMEIRANTE,Monóxido de carbono (CO),10.08
2015,SAO PAULO,IPUA,Material Particulado (MP),340.88
2015,MINAS GERAIS,ITANHANDU,Óxidos de nitrogênio (NOx),14.22
2015,BAHIA,PONTO NOVO,Monóxido de carbono (CO),0.05
2015,RIO GRANDE DO SUL,SANTO CRISTO,Óxidos de enxofre (SOx),0
2015,SAO PAULO,SAO SIMAO,Óxidos de enxofre (SOx),17.07
2015,PARANA,SAO JOAO,Monóxido de carbono (CO),36.8
2015,RIO DE JANEIRO,MACAE,Material Particulado (MP),11792406.530000001
2015,BAHIA,SITIO DO MATO,Óxidos de enxofre (SOx),0.01
2015,SAO PAULO,IBIRAREMA,Material Particulado (MP),1
2015,MINAS GERAIS,PEDRA AZUL,Material Particulado (MP),3.1
2015,RIO GRANDE DO SUL,GRAVATAI,Material Particulado (MP),243.22999999999996
2015,SAO PAULO,SALTINHO,Material Particulado (MP),0.5
2015,RIO GRANDE DO SUL,PORTO ALEGRE,Material Particulado (MP),729.12
2015,SAO PAULO,UBARANA,Material Particulado (MP),597.81
2015,CEARA,GENERAL SAMPAIO,Material Particulado (MP),0.2
2015,GOIAS,NIQUELANDIA,Monóxido de carbono (CO),55254
2015,PARAIBA,CONDE,Material Particulado (MP),168.9
2015,PERNAMBUCO,JABOATAO DOS GUARARAPES,Óxidos de nitrogênio (NOx),5.08
2015,MATO GROSSO DO SUL,TRES LAGOAS,Monóxido de carbono,0
2015,SAO PAULO,OSVALDO CRUZ,Material Particulado (MP),31.34
2015,SAO PAULO,LAVINIA,Material Particulado (MP),14
2015,SAO PAULO,GUARULHOS,Material Particulado (MP),474.79
2015,MINAS GERAIS,ITABIRA,Material Particulado (MP),4.24
2015,MATO GROSSO DO SUL,IGUATEMI,Material Particulado (MP),4.8
2015,GOIAS,PLANALTINA,Material Particulado (MP),16144.3
2015,MINAS GERAIS,FORMIGA,Material Particulado (MP),1076.9799999999998
2015,ACRE,CRUZEIRO DO SUL,Óxidos de enxofre (SOx),95
2015,GOIAS,TURVELANDIA,Óxidos de nitrogênio (NOx),490
2015,SAO PAULO,JAU,Monóxido de carbono (CO),0.01
2015,SANTA CATARINA,IMBITUBA,Monóxido de carbono (CO),39.22
2015,ESPIRITO SANTO,LINHARES,Óxidos de enxofre (SOx),2.63
2015,PARANA,ASSIS CHATEAUBRIAND,Monóxido de carbono (CO),10
2015,MINAS GERAIS,PIUMHI,Óxidos de enxofre (SOx),0.24
2015,SAO PAULO,VALPARAISO,Óxidos de nitrogênio (NOx),1208.34
2015,CEARA,JUAZEIRO DO NORTE,Óxidos de enxofre (SOx),0.01
2015,BAHIA,CACHOEIRA,Óxidos de enxofre (SOx),11.98
2015,SAO PAULO,POTIM,Monóxido de carbono (CO),39.13
2015,SAO PAULO,ITU,Monóxido de carbono (CO),11393.59
2015,RIO GRANDE DO SUL,CANOAS,Óxidos de nitrogênio (NOx),5662.780000000001
2015,SAO PAULO,ITUVERAVA,Monóxido de carbono (CO),1
2015,MINAS GERAIS,SILVIANOPOLIS,Material Particulado (MP),1.83
2015,SAO PAULO,SERRA AZUL,Monóxido de carbono (CO),2.85
