referencia,estado,municipio,poluente_emitido,quantidade
2013,PARANA,GUARAPUAVA,Monóxido de carbono (CO),690.4999999999999
2013,SANTA CATARINA,JARAGUA DO SUL,Óxidos de nitrogênio (NOx),59.25
2013,MINAS GERAIS,SETE LAGOAS,Óxidos de enxofre (SOx),0.6
2013,SAO PAULO,NOVO HORIZONTE,Óxidos de nitrogênio (NOx),574.36
2013,AMAZONAS,PRESIDENTE FIGUEIREDO,Material Particulado (MP),99.08999999999999
2013,MINAS GERAIS,MANGA,Material Particulado (MP),0.01
2013,SAO PAULO,PINDAMONHANGABA,Partículas (PM10),1612.8000000000004
2013,PARANA,UBIRATA,Monóxido de carbono,0.02
2013,RIO GRANDE DO SUL,SANTO AUGUSTO,Material Particulado (MP),0.13
2013,MINAS GERAIS,ITAJUBA,Óxidos de enxofre (SOx),0.5
2013,PERNAMBUCO,CABO DE SANTO AGOSTINHO,Material Particulado (MP),9541.570000000002
2013,SAO PAULO,LEME,Monóxido de carbono (CO),458
2013,RONDONIA,JARU,Monóxido de carbono (CO),228
2013,PARAIBA,GUARABIRA,Monóxido de carbono (CO),230.36
2013,MINAS GERAIS,CORREGO FUNDO,Material Particulado (MP),3413.01
2013,MATO GROSSO,DIAMANTINO,Óxidos de nitrogênio (NOx),41.5
2013,GOIAS,PIRANHAS,Monóxido de carbono (CO),0.03
2013,MINAS GERAIS,MATIPO,Material Particulado (MP),1
2013,MINAS GERAIS,VAZANTE,Material Particulado (MP),0.1
2013,RIO GRANDE DO SUL,PINHEIRO MACHADO,Material Particulado (MP),8.21
2013,SAO PAULO,IBIUNA,Óxidos de enxofre (SOx),0.12
2013,SAO PAULO,LARANJAL PAULISTA,Óxidos de enxofre (SOx),18.57
2013,BAHIA,ANDORINHA,Material Particulado (MP),10
2013,SAO PAULO,ENGENHEIRO COELHO,Óxidos de nitrogênio (NOx),3.72
2013,MINAS GERAIS,MUTUM,Monóxido de carbono (CO),93.39
2013,PARANA,JANDAIA DO SUL,Monóxido de carbono (CO),60.8
2013,GOIAS,CACHOEIRA DOURADA,Material Particulado (MP),513515.52
2013,SANTA CATARINA,BRACO DO NORTE,Material Particulado (MP),2466.38
2013,CEARA,SOLONOPOLE,Monóxido de carbono (CO),0.05
2013,ESPIRITO SANTO,MONTANHA,Material Particulado (MP),702.64
2013,PARA,XINGUARA,Monóxido de carbono (CO),0.2
2013,ACRE,XAPURI,Monóxido de carbono (CO),200
2013,MINAS GERAIS,BRUMADINHO,Óxidos de nitrogênio (NOx),30.35
2013,BAHIA,ITAPETINGA,Óxidos de nitrogênio (NOx),523.06
2013,RONDONIA,VILHENA,Material Particulado (MP),10550.9
2013,BAHIA,MALHADA DE PEDRAS,Óxidos de nitrogênio (NOx),0.01
2013,RIO GRANDE DO SUL,VILA LANGARO,Material Particulado (MP),0.02
2013,BAHIA,CAETITE,Óxidos de enxofre (SOx),0.05
2013,SANTA CATARINA,SAO BERNARDINO,Monóxido de carbono (CO),3900
2013,SAO PAULO,AGUAI,Monóxido de carbono (CO),712.91
2013,GOIAS,PIRACANJUBA,Óxidos de enxofre (SOx),2
2013,MATO GROSSO,GUARANTA DO NORTE,Monóxido de carbono (CO),0.03
2013,RIO GRANDE DO SUL,CANGUCU,Material Particulado (MP),0.11
2013,SAO PAULO,ITUVERAVA,Monóxido de carbono (CO),1
2013,RIO GRANDE DO SUL,GRAVATAI,Monóxido de carbono,0
2013,SAO PAULO,HORTOLANDIA,Óxidos de nitrogênio (NOx),85.07000000000001
2013,RIO DE JANEIRO,BOM JARDIM,Material Particulado (MP),1000
2013,SAO PAULO,COLINA,Óxidos de nitrogênio (NOx),226.88
2013,SAO PAULO,BOITUVA,Óxidos de nitrogênio (NOx),163.32999999999998
2013,SANTA CATARINA,TROMBUDO CENTRAL,Monóxido de carbono (CO),318.37
2013,RONDONIA,CUJUBIM,Monóxido de carbono (CO),0.5
2013,RIO GRANDE DO NORTE,PARNAMIRIM,Óxidos de nitrogênio (NOx),184.14999999999998
2013,RIO GRANDE DO SUL,LAGOA VERMELHA,Material Particulado (MP),0.33
2013,MATO GROSSO,VILA RICA,Óxidos de nitrogênio (NOx),900
2013,MINAS GERAIS,SARZEDO,Material Particulado (MP),64.09
2013,ESPIRITO SANTO,ANCHIETA,Monóxido de carbono (CO),219.1
2013,PERNAMBUCO,JABOATAO DOS GUARARAPES,Óxidos de enxofre (SOx),0.01
2013,SAO PAULO,TEODORO SAMPAIO,Óxidos de nitrogênio (NOx),1.75
2013,PERNAMBUCO,MORENO,Monóxido de carbono (CO),3216.9
2013,PERNAMBUCO,BELO JARDIM,Material Particulado (MP),18.18
2013,MINAS GERAIS,TURMALINA,Monóxido de carbono (CO),1920
2013,SAO PAULO,AVARE,Diclorometano (cloreto de metileno),2391
2013,PARANA,LONDRINA,Monóxido de carbono,54.66
2013,MINAS GERAIS,POUSO ALEGRE,Óxidos de enxofre (SOx),27.28
2013,RIO GRANDE DO SUL,OSORIO,Óxidos de enxofre (SOx),0.06
2013,RIO GRANDE DO SUL,GUAIBA,Óxidos de nitrogênio (NOx),1566.5
2013,MATO GROSSO,VARZEA GRANDE,Monóxido de carbono (CO),3.6
2013,SAO PAULO,TIETE,Material Particulado (MP),111.2
2013,PARA,RIO MARIA,Monóxido de carbono (CO),5
2013,MINAS GERAIS,SILVIANOPOLIS,Material Particulado (MP),2.93
2013,ALAGOAS,MACEIO,Material Particulado (MP),1329.4
2013,GOIAS,PEROLANDIA,Material Particulado (MP),137.35
2013,MINAS GERAIS,EXTREMA,Óxidos de nitrogênio (NOx),0
2013,SAO PAULO,SANDOVALINA,Óxidos de nitrogênio (NOx),214.44
2013,GOIAS,NAZARIO,Óxidos de enxofre (SOx),1
2013,PARANA,CATANDUVAS,Material Particulado (MP),0.8099999999999999
2013,RIO GRANDE DO SUL,VACARIA,Material Particulado (MP),0.12000000000000001
2013,SANTA CATARINA,TANGARA,Material Particulado (MP),172.7
2013,MINAS GERAIS,PERDIGAO,Material Particulado (MP),1.42
2013,RIO GRANDE DO NORTE,CRUZETA,Monóxido de carbono (CO),54.53
2013,PERNAMBUCO,CARNAIBA,Óxidos de nitrogênio (NOx),0
2013,RIO GRANDE DO SUL,FAZENDA VILANOVA,Material Particulado (MP),0.05
2013,SAO PAULO,VOTORANTIM,Monóxido de carbono (CO),1243.17
2013,SANTA CATARINA,BALNEARIO ARROIO DO SILVA,Material Particulado (MP),15.97
2013,SANTA CATARINA,LAGES,Óxidos de enxofre (SOx),35.04
2013,ESPIRITO SANTO,ITARANA,Material Particulado (MP),205
2013,MINAS GERAIS,CONCEICAO DO PARA,Material Particulado (MP),153.26
2013,PERNAMBUCO,GOIANA,Óxidos de nitrogênio (NOx),156.8
2013,SANTA CATARINA,URUSSANGA,Óxidos de nitrogênio (NOx),1.5
2013,SAO PAULO,GUARARAPES,Monóxido de carbono (CO),79.69
2013,RIO GRANDE DO SUL,SOLEDADE,Material Particulado (MP),45.88999999999999
2013,BAHIA,XIQUE-XIQUE,Óxidos de nitrogênio (NOx),0.02
2013,BAHIA,JAGUARARI,Material Particulado (MP),0.26
2013,SAO PAULO,PENAPOLIS,Material Particulado (MP),0.5
2013,RIO GRANDE DO SUL,RONDINHA,Material Particulado (MP),0.02
2013,RIO DE JANEIRO,ITATIAIA,Óxidos de nitrogênio (NOx),10.18
2013,SAO PAULO,PEDRA BELA,Material Particulado (MP),0.58
2013,GOIAS,SANTA HELENA DE GOIAS,Óxidos de nitrogênio (NOx),336.8
2013,MATO GROSSO,VILA RICA,Monóxido de carbono (CO),850
2013,MINAS GERAIS,PAPAGAIOS,Material Particulado (MP),1.85
2013,SAO PAULO,PALMITAL,Óxidos de enxofre (SOx),0.01
2013,SAO PAULO,BEBEDOURO,Material Particulado (MP),79076.88
2013,SANTA CATARINA,ITAJAI,Material Particulado (MP),2190.48
2013,MATO GROSSO DO SUL,PONTA PORA,Óxidos de enxofre (SOx),0
2013,SAO PAULO,ARACARIGUAMA,Óxidos de enxofre (SOx),105.37
2013,CEARA,BARBALHA,Óxidos de enxofre (SOx),0.01
2013,SANTA CATARINA,MAFRA,Monóxido de carbono (CO),1
2013,MATO GROSSO DO SUL,DOURADOS,Óxidos de enxofre (SOx),5.33
2013,RIO DE JANEIRO,SAO JOAO DA BARRA,Monóxido de carbono (CO),1002.86
2013,BAHIA,IBOTIRAMA,Óxidos de nitrogênio (NOx),0.02
2013,CEARA,BEBERIBE,Material Particulado (MP),17
2013,ESPIRITO SANTO,SERRA,Monóxido de carbono (CO),1456225.7500000002
2013,CEARA,RUSSAS,Material Particulado (MP),59
2013,SANTA CATARINA,AGUA DOCE,Óxidos de enxofre (SOx),63.6
2013,MINAS GERAIS,ARCOS,Óxidos de nitrogênio (NOx),205.18
2013,MINAS GERAIS,FRUTAL,Material Particulado (MP),421.74
2013,SAO PAULO,GUARATINGUETA,Monóxido de carbono (CO),8.5
2013,PARANA,TURVO,Monóxido de carbono (CO),156.43
