referencia,estado,poluente_emitido,quantidade
2022,BAHIA,Óxidos de nitrogênio (NOx),40.510000000000005
2018,TOCANTINS,Óxidos de nitrogênio (NOx),5222.859999999999
2021,PIAUI,Material Particulado (MP),1812.6
2018,BAHIA,Monóxido de carbono (CO),139287.22
2014,MARANHAO,Monóxido de carbono (CO),3956.980000000001
2021,RONDONIA,Óxidos de nitrogênio (NOx),1622.1699999999998
2013,MINAS GERAIS,Óxidos de nitrogênio (NOx),207256.08000000005
2015,SERGIPE,Óxidos de enxofre (SOx),61060000.62
2019,RIO DE JANEIRO,Monóxido de carbono (CO),268832123.20000017
2018,PARANA,Óxidos de nitrogênio (NOx),31499.62
2020,GOIAS,Monóxido de carbono (CO),9090624.970000003
2013,MINAS GERAIS,Outras ligas de cobre em forma bruta;,4.2
2013,CEARA,Óxidos de nitrogênio (NOx),12726.560000000001
2021,SANTA CATARINA,Óxidos de nitrogênio (NOx),125090.45000000001
2013,SANTA CATARINA,Material Particulado (MP),1058659.81
2018,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),8708.519999999993
2019,MINAS GERAIS,Óxidos de enxofre (SOx),25136.580000000005
2013,CEARA,Monóxido de carbono,3595.2999999999997
2013,MINAS GERAIS,Desperdícios e resíduos de chumbo,0.01
2015,MARANHAO,Monóxido de carbono (CO),4818.919999999999
2015,ALAGOAS,Material Particulado (MP),110991.20000000003
2019,RONDONIA,Óxidos de enxofre (SOx),320.03
2022,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),0.72
2013,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),1246.35
2018,RORAIMA,Monóxido de carbono (CO),0.86
2017,MATO GROSSO,Óxidos de nitrogênio (NOx),170707.52000000008
2013,AMAZONAS,Óxidos de nitrogênio (NOx),42038.92999999999
2013,PARANA,Monóxido de carbono,239564.66000000003
2020,MINAS GERAIS,Óxidos de nitrogênio (NOx),81124.74000000003
2017,RONDONIA,Material Particulado (MP),31506.55999999999
2022,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),100
2022,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),100
2018,RORAIMA,Óxidos de enxofre (SOx),7.49
2019,GOIAS,Óxidos de nitrogênio (NOx),21210.559999999994
2014,PERNAMBUCO,Monóxido de carbono (CO),68594.94
2017,MARANHAO,Material Particulado (MP),3949.57
2013,SAO PAULO,"1,1,2,2-Tetracloroetano",2391
2015,SANTA CATARINA,Óxidos de nitrogênio (NOx),19185.49999999999
2016,MARANHAO,Material Particulado (MP),6698.800000000002
2020,CEARA,Monóxido de carbono (CO),951365.2500000002
2013,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),16876557.18
2013,PERNAMBUCO,Partículas (PM10),1.51
2020,SAO PAULO,Monóxido de carbono,0.04
2014,SAO PAULO,Óxido nitroso,99390.2
2014,SAO PAULO,Óxidos de enxofre (SOx),234200.63999999998
2020,PARANA,Óxidos de nitrogênio (NOx),1403910.6700000002
2015,MINAS GERAIS,Monóxido de carbono,6008
2022,SANTA CATARINA,Material Particulado (MP),54480.05
2018,SERGIPE,Óxidos de nitrogênio (NOx),9293.3
2016,ALAGOAS,Óxidos de nitrogênio (NOx),67682.17000000001
2016,AMAZONAS,Monóxido de carbono,105.23
2013,TOCANTINS,Monóxido de carbono,410.51
2017,DISTRITO FEDERAL,Monóxido de carbono,8.18
2021,RONDONIA,Óxidos de enxofre (SOx),2755.1900000000005
2020,SERGIPE,Óxidos de enxofre (SOx),5083.619999999999
2020,AMAPA,Material Particulado (MP),22.11
2013,TOCANTINS,Óxidos de enxofre (SOx),347.99
2013,SANTA CATARINA,Cloreto de hidrogênio (ácido clorídrico) em solução aquosa,120
2016,PERNAMBUCO,Monóxido de carbono (CO),106885.70999999999
2020,PERNAMBUCO,Monóxido de carbono (CO),16529552.21
2017,AMAZONAS,Material Particulado (MP),14839.660000000003
2013,SAO PAULO,Cloro,1560.7
2013,AMAZONAS,Partículas (PM10),0.95
2019,ESPIRITO SANTO,Material Particulado (MP),30467.219999999987
2016,AMAZONAS,Óxidos de enxofre (SOx),115427056.48
2013,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),1218.6
2016,SAO PAULO,"Álcool etílico não desnaturado, com teor alcoólico em volume menor que 80%",1
2022,MATO GROSSO,Monóxido de carbono (CO),164.91
2014,SAO PAULO,Nitrogênio,0.01
2021,GOIAS,Óxidos de nitrogênio (NOx),21238.659999999993
2016,SANTA CATARINA,Óxidos de enxofre (SOx),107527.13999999998
2015,RONDONIA,Material Particulado (MP),15825.399999999989
2020,DISTRITO FEDERAL,Material Particulado (MP),677.3799999999999
2017,PARA,Óxidos de nitrogênio (NOx),9834.889999999998
2014,CEARA,Óxidos de enxofre (SOx),1553.1399999999999
2013,ESPIRITO SANTO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",56.4
2017,MINAS GERAIS,Desperdícios e resíduos de cromo,30
2018,SAO PAULO,Monóxido de carbono (CO),3016312.1099999985
2013,ESPIRITO SANTO,Monóxido de carbono (CO),1522828.3000000005
2018,CEARA,Monóxido de carbono (CO),1937737.8700000017
2021,SERGIPE,Material Particulado (MP),1497.07
2022,SAO PAULO,Óxidos de enxofre (SOx),915.54
2013,SAO PAULO,Partículas (PM10),1396187.3799999992
2017,RORAIMA,Óxidos de nitrogênio (NOx),23.58
2016,GOIAS,Material Particulado (MP),192774.14
2013,AMAPA,Material Particulado (MP),131.76
2014,MINAS GERAIS,Óxidos de nitrogênio (NOx),177505.00000000012
2014,PARAIBA,Material Particulado (MP),1105483.73
2017,PARAIBA,Monóxido de carbono (CO),35556.41
2018,MARANHAO,Óxidos de nitrogênio (NOx),9314.499999999998
2018,MINAS GERAIS,Dióxido de enxofre,1
2013,SAO PAULO,Cloroformio (triclorometano),2391
2017,MINAS GERAIS,Óxidos de enxofre (SOx),29581.339999999993
2019,AMAPA,Óxidos de nitrogênio (NOx),1.11
2015,MATO GROSSO DO SUL,Monóxido de carbono (CO),27340.310000000005
2015,PERNAMBUCO,Óxidos de enxofre (SOx),167153107713.04007
2020,RIO GRANDE DO NORTE,Monóxido de carbono (CO),3977266.1700000004
2014,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),1307.27
2014,ACRE,Material Particulado (MP),61.08
2017,SAO PAULO,Material Particulado (MP),5132729.83999998
2018,SANTA CATARINA,Óxidos de enxofre (SOx),112758.69000000003
2021,RIO DE JANEIRO,Óxidos de enxofre (SOx),207849.82000000004
2015,AMAZONAS,Partículas (PM10),154.23000000000002
2017,CEARA,Monóxido de carbono,232.8
2013,SAO PAULO,Naftaleno,2391
2014,GOIAS,Material Particulado (MP),1094412.5799999996
2021,RIO GRANDE DO NORTE,Material Particulado (MP),3840861.080000001
2016,ACRE,Monóxido de carbono (CO),18070.79
2015,CEARA,Dióxido de enxofre,99.2
2019,SANTA CATARINA,Óxidos de nitrogênio (NOx),822977645.1099995
2014,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),34154.34
2018,AMAPA,Monóxido de carbono (CO),1190.87
2014,DISTRITO FEDERAL,Nitrogênio,8426.41
2014,DISTRITO FEDERAL,Monóxido de carbono (CO),949568.05
2018,PIAUI,Monóxido de carbono (CO),772585.1000000001
2019,ALAGOAS,Material Particulado (MP),24591.750000000004
2015,SAO PAULO,Monóxido de carbono (CO),4497945.759999998
2018,RIO GRANDE DO SUL,Material Particulado (MP),96290.86999999994
2015,AMAPA,Monóxido de carbono (CO),455.06000000000006
2020,MINAS GERAIS,Óxidos de enxofre (SOx),27961.05999999999
2019,PIAUI,Óxidos de nitrogênio (NOx),47333.95
2019,MINAS GERAIS,Dióxido de enxofre,1.6400000000000001
2016,CEARA,Monóxido de carbono (CO),117820.44
2014,TOCANTINS,Monóxido de carbono (CO),4535.190000000001
2018,AMAZONAS,Óxidos de enxofre (SOx),1541.46
2022,ESPIRITO SANTO,Material Particulado (MP),321
2020,BAHIA,Óxidos de enxofre (SOx),17400.69000000001
2013,CEARA,Monóxido de carbono (CO),2195820.409999999
2013,AMAZONAS,Monóxido de carbono (CO),39418887.25
2016,RIO GRANDE DO NORTE,Monóxido de carbono (CO),41198.96000000001
2019,RIO GRANDE DO SUL,Monóxido de carbono,12.31
2013,SANTA CATARINA,Óxidos de nitrogênio (NOx),3079251.569999998
2015,RIO GRANDE DO SUL,Monóxido de carbono (CO),3110434.5599999973
2017,BAHIA,Material Particulado (MP),66494.01999999997
2020,SERGIPE,Óxidos de nitrogênio (NOx),4611.429999999999
2020,PARAIBA,Material Particulado (MP),33486.57
2014,SANTA CATARINA,Óxidos de nitrogênio (NOx),2539375.0900000003
2020,RIO GRANDE DO NORTE,Material Particulado (MP),4344674.129999997
2013,RIO GRANDE DO SUL,Monóxido de carbono,4163.57
2021,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),127843.73999999999
2013,MINAS GERAIS,Dióxido de enxofre,7439.45
2020,SANTA CATARINA,Óxidos de nitrogênio (NOx),36594.16999999994
2016,AMAZONAS,Monóxido de carbono (CO),79919654.14999998
2019,MARANHAO,Óxidos de enxofre (SOx),18231.530000000002
2017,SANTA CATARINA,Óxidos de nitrogênio (NOx),40731.28999999999
2021,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",3000
2016,MATO GROSSO DO SUL,Monóxido de carbono,7.83
2018,AMAZONAS,Material Particulado (MP),6763.9500000000035
2019,AMAZONAS,Óxidos de enxofre (SOx),2214827636.4000015
2014,AMAPA,Monóxido de carbono (CO),533.63
2013,PIAUI,Material Particulado (MP),2650.4700000000003
2017,MATO GROSSO,Material Particulado (MP),16549.940000000006
2018,SAO PAULO,Material Particulado (MP),4724268.049999982
2017,SANTA CATARINA,Monóxido de carbono (CO),371131.1600000002
2015,PARA,Óxidos de nitrogênio (NOx),7774.04
2021,RIO GRANDE DO NORTE,Monóxido de carbono (CO),8910759.810000002
2014,RIO GRANDE DO SUL,Óxido nitroso,552
2021,SANTA CATARINA,Óxidos de enxofre (SOx),128707.19999999997
2022,PARA,Óxidos de nitrogênio (NOx),0
2013,SAO PAULO,Cinzas e resíduos contendo chumbo,0.2
2016,PARANA,Monóxido de carbono (CO),77980047.88000001
2019,PERNAMBUCO,Óxidos de nitrogênio (NOx),655211.06
2016,ESPIRITO SANTO,Monóxido de carbono (CO),261480.90000000002
2015,ACRE,Óxidos de nitrogênio (NOx),5115
2014,ALAGOAS,Óxidos de nitrogênio (NOx),1114.3899999999999
2016,SANTA CATARINA,Monóxido de carbono,3600
2016,MINAS GERAIS,Material Particulado (MP),11353508.19999999
2018,MATO GROSSO,Monóxido de carbono (CO),128436.67999999998
2013,MARANHAO,Dióxido de enxofre,7793.4
2018,MARANHAO,Material Particulado (MP),4998.590000000003
2016,MINAS GERAIS,Monóxido de carbono,6007.6
2016,RIO GRANDE DO NORTE,Material Particulado (MP),32112.70999999999
2013,SAO PAULO,Estireno,20120
2018,TOCANTINS,Monóxido de carbono (CO),8567.95
2016,GOIAS,Óxidos de enxofre (SOx),26010.16999999998
2016,AMAPA,Monóxido de carbono (CO),450.38000000000005
2015,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),39054.87000000001
2017,TOCANTINS,Monóxido de carbono (CO),8188.520000000001
2013,RIO GRANDE DO SUL,Nitrogênio,79
2019,ACRE,Óxidos de enxofre (SOx),164.77
2013,RIO DE JANEIRO,Cloreto de hidrogênio (ácido clorídrico),101.08
2020,SANTA CATARINA,Monóxido de carbono (CO),384591.75000000023
2019,SAO PAULO,Óxidos de nitrogênio (NOx),2751433.3100000015
2021,PARANA,Material Particulado (MP),1033217.4900000006
2014,CEARA,Monóxido de carbono (CO),2076409.7700000005
2017,RORAIMA,Material Particulado (MP),4.97
2021,PARAIBA,Monóxido de carbono,500
2016,SAO PAULO,Cinzas e resíduos contendo chumbo,0.2
2015,MARANHAO,Óxidos de nitrogênio (NOx),137426.78000000003
2017,ESPIRITO SANTO,Óxidos de enxofre (SOx),30478.879999999994
2015,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),52.56
2013,MINAS GERAIS,Desperdício e resíduos de estanho,0.05
2013,MINAS GERAIS,Ácido nítrico,2932.77
2013,SANTA CATARINA,Compostos orgânicos voláteis não metânicos(COVNM),65.98
2020,PARA,Óxidos de nitrogênio (NOx),15119.039999999999
2021,MATO GROSSO DO SUL,Material Particulado (MP),101517.29000000001
2021,MARANHAO,Óxidos de enxofre (SOx),19128.43
2017,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),158467.89999999997
2014,CEARA,Monóxido de carbono,318.48
2014,PARANA,Dióxido de enxofre,1
2022,TOCANTINS,Óxidos de nitrogênio (NOx),0.5
2013,RIO GRANDE DO SUL,clorodifluorometano (HCFC-22),13.6
2017,PARANA,Material Particulado (MP),2673172.3799999976
2016,MINAS GERAIS,Óxidos de enxofre (SOx),125963.63
2021,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),1834.5700000000002
2013,TOCANTINS,Óxidos de nitrogênio (NOx),1015.9399999999999
2020,RIO GRANDE DO NORTE,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",2.52
2013,MATO GROSSO DO SUL,Monóxido de carbono,9.469999999999999
2013,MINAS GERAIS,Outros óxidos de chumbo,0.62
2015,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",320.4
2019,PARAIBA,Monóxido de carbono (CO),52878.64000000001
2018,AMAZONAS,Monóxido de carbono (CO),25705.909999999985
2016,MINAS GERAIS,Monóxido de carbono (CO),1388139.65
2020,PERNAMBUCO,Óxidos de enxofre (SOx),163085.13000000003
2015,SANTA CATARINA,Monóxido de carbono (CO),416669.87000000005
2016,PARAIBA,Material Particulado (MP),19214.439999999995
2018,MATO GROSSO DO SUL,Monóxido de carbono,7.85
2020,SANTA CATARINA,Óxidos de enxofre (SOx),117391.06999999996
2014,TOCANTINS,Material Particulado (MP),157721.78000000003
2015,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),2664.0099999999998
2022,TOCANTINS,Óxidos de enxofre (SOx),0
2016,PARAIBA,Óxidos de nitrogênio (NOx),21972.810000000005
2017,DISTRITO FEDERAL,Nitrogênio,8426.41
2017,AMAPA,Monóxido de carbono (CO),740.87
2018,MATO GROSSO DO SUL,Dióxido de enxofre,0
2021,RORAIMA,Óxidos de enxofre (SOx),3.76
2013,RIO DE JANEIRO,Óxidos de enxofre (SOx),5241723.590000001
2013,MINAS GERAIS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1964.33
2013,AMAZONAS,Dióxido de enxofre,11.45
2020,GOIAS,Material Particulado (MP),58023.86
2013,PERNAMBUCO,Óxidos de nitrogênio (NOx),143069.81999999998
2015,MINAS GERAIS,Óxidos de nitrogênio (NOx),239210.81000000003
2013,SANTA CATARINA,Monóxido de carbono,29119.620000000003
2014,TOCANTINS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",20
2019,RIO DE JANEIRO,Material Particulado (MP),2179981.9699999993
2018,MINAS GERAIS,Óxidos de enxofre (SOx),25102.150000000005
2021,DISTRITO FEDERAL,Monóxido de carbono (CO),13487.840000000002
2016,CEARA,Monóxido de carbono,23.24
2021,MINAS GERAIS,Óxidos de enxofre (SOx),37727.20000000001
2016,BAHIA,Monóxido de carbono (CO),253162.52000000005
2017,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2017,AMAPA,Material Particulado (MP),22
2014,AMAZONAS,Partículas (PM10),139.32999999999998
2021,MATO GROSSO,Material Particulado (MP),171504.86999999997
2019,RIO GRANDE DO NORTE,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",88.81
2014,MATO GROSSO DO SUL,Dióxido de enxofre,0
2015,PARA,Material Particulado (MP),42444.469999999994
2021,RONDONIA,Monóxido de carbono (CO),9833.14
2015,PARAIBA,Óxidos de enxofre (SOx),14820.650000000001
2015,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),48270.68000000001
2020,MATO GROSSO,Monóxido de carbono (CO),604767.2600000001
2020,TOCANTINS,Monóxido de carbono (CO),5742.090000000002
2019,SERGIPE,Monóxido de carbono (CO),17253.809999999994
2014,RIO GRANDE DO NORTE,Monóxido de carbono (CO),11398.570000000007
2016,PARANA,Óxidos de enxofre (SOx),17672.500000000004
2013,RIO DE JANEIRO,Monóxido de carbono,1705.95
2021,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),550454.48
2016,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),14154.249999999998
2017,ESPIRITO SANTO,Monóxido de carbono (CO),270176.7700000001
2014,SAO PAULO,Dióxido de enxofre,6809.73
2020,RORAIMA,Monóxido de carbono (CO),531.04
2016,AMAZONAS,Dióxido de enxofre,237.73000000000002
2020,MARANHAO,Material Particulado (MP),44297.97000000001
2014,ESPIRITO SANTO,Óxidos de enxofre (SOx),38460.97000000001
2015,MATO GROSSO DO SUL,Monóxido de carbono,7.83
2019,CEARA,Óxidos de enxofre (SOx),181155.1800000001
2013,AMAPA,Monóxido de carbono (CO),788.86
2020,MATO GROSSO DO SUL,Monóxido de carbono (CO),43091.38999999999
2015,RIO GRANDE DO NORTE,Monóxido de carbono (CO),65082.45
2014,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),180367.09000000005
2021,PARAIBA,Monóxido de carbono (CO),78852.04000000002
2020,RIO GRANDE DO SUL,Material Particulado (MP),327288.7500000002
2020,PERNAMBUCO,Óxidos de nitrogênio (NOx),1027645.4700000002
2013,PERNAMBUCO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",331447.72
2020,RIO DE JANEIRO,Gás natural gasoso,0
2020,BAHIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",615
2013,MINAS GERAIS,Cloreto de hidrogênio (ácido clorídrico),13753.08
2013,RIO DE JANEIRO,Cinzas e resíduos contendo chumbo,2.18
2013,MATO GROSSO DO SUL,Material Particulado (MP),547790.64
2014,PERNAMBUCO,Óxidos de nitrogênio (NOx),33821547.99
2020,TOCANTINS,Óxidos de enxofre (SOx),96.01000000000002
2013,TOCANTINS,Material Particulado (MP),18799.089999999997
2017,PARA,Monóxido de carbono (CO),120173.46999999997
2019,MATO GROSSO,Monóxido de carbono (CO),325094.4500000002
2014,RONDONIA,Monóxido de carbono (CO),3546535.559999999
2020,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),18809.140000000007
2019,SAO PAULO,Monóxido de carbono (CO),33325594.079999965
2018,SANTA CATARINA,Monóxido de carbono (CO),330801.3100000001
2019,PARA,Monóxido de carbono (CO),152657.87999999995
2017,PARAIBA,Óxidos de nitrogênio (NOx),12317.26
2013,PARA,Óxidos de enxofre (SOx),24542.120000000003
2013,MARANHAO,Outros fluoretos,71.73
2016,MARANHAO,Óxidos de nitrogênio (NOx),37445.04
2013,SAO PAULO,Monóxido de carbono,370863.31
2013,SAO PAULO,Diclorometano (cloreto de metileno),2396.68
2019,SANTA CATARINA,Material Particulado (MP),13524862.489999922
2013,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),810612.73
2021,TOCANTINS,Monóxido de carbono (CO),1541.3099999999997
2016,RONDONIA,Óxidos de nitrogênio (NOx),1213.66
2019,SERGIPE,Óxidos de nitrogênio (NOx),5999.87
2014,RIO GRANDE DO NORTE,Material Particulado (MP),9112.640000000003
2013,PERNAMBUCO,Cloreto de hidrogênio (ácido clorídrico),1042.3
2022,PIAUI,Material Particulado (MP),0.01
2017,BAHIA,Monóxido de carbono (CO),70434.72999999997
2015,CEARA,Material Particulado (MP),56253.04000000003
2013,AMAZONAS,Óxidos de enxofre (SOx),3589.750000000001
2014,PERNAMBUCO,Dióxido de enxofre,1.43
2017,MINAS GERAIS,Compostos orgânicos voláteis não metânicos(COVNM),0.01
2019,BAHIA,Monóxido de carbono,201.37
2016,PARAIBA,Óxidos de enxofre (SOx),10765.57
2022,PARANA,Monóxido de carbono (CO),8357.600000000002
2017,PIAUI,Material Particulado (MP),39638.99
2015,SAO PAULO,"Álcool etílico não desnaturado, com teor alcoólico em volume menor que 80%",1
2013,SAO PAULO,Óxidos de nitrogênio (NOx),22297857.29
2015,RIO GRANDE DO NORTE,Material Particulado (MP),33403.67999999998
2022,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),993.47
2013,BAHIA,Óxido nitroso,18.85
2019,PIAUI,Material Particulado (MP),37949.799999999996
2018,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),20534.940000000002
2013,MARANHAO,Partículas (PM10),641.81
2018,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),1606.22
2013,GOIAS,Monóxido de carbono,265980
2013,CEARA,Dióxido de enxofre,127.2
2014,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),58.660000000000004
2015,SANTA CATARINA,Monóxido de carbono,3600
2015,RIO GRANDE DO SUL,Dióxido de enxofre,0.6799999999999999
2016,TOCANTINS,Óxidos de enxofre (SOx),1046.2199999999998
2017,ALAGOAS,Óxidos de nitrogênio (NOx),107675.87
2022,CEARA,Óxidos de enxofre (SOx),68410.82999999999
2014,MINAS GERAIS,Nitrogênio,0.9
2022,DISTRITO FEDERAL,Monóxido de carbono (CO),0
2013,GOIAS,Óxidos de enxofre (SOx),11995.36
2013,GOIAS,Óxidos de nitrogênio (NOx),967694.2400000001
2014,ACRE,Óxidos de nitrogênio (NOx),5043
2019,RIO GRANDE DO SUL,Monóxido de carbono (CO),79897497.23000012
2013,SERGIPE,Material Particulado (MP),1562.23
2013,PARAIBA,Monóxido de carbono (CO),10642.320000000002
2018,ESPIRITO SANTO,Óxidos de enxofre (SOx),33311.75
2019,ACRE,Óxidos de nitrogênio (NOx),5071.38
2014,CEARA,Dióxido de enxofre,99.33
2015,MARANHAO,Material Particulado (MP),21631.819999999996
2020,RIO DE JANEIRO,Material Particulado (MP),141115.37000000008
2019,AMAPA,Óxidos de enxofre (SOx),0.04
2018,RORAIMA,Material Particulado (MP),4.99
2019,SAO PAULO,Óxidos de enxofre (SOx),150470.84000000014
2013,SAO PAULO,Monóxido de carbono (CO),15339839.189999996
2013,MATO GROSSO DO SUL,Monóxido de carbono (CO),710036.3200000001
2013,RIO GRANDE DO SUL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",464.17
2014,MINAS GERAIS,Desperdícios e resíduos de chumbo,0.01
2013,PARANA,Metanal (formaldeído ou formol),168.01
2020,SAO PAULO,Dióxido de enxofre,1.16
2016,RIO GRANDE DO SUL,Monóxido de carbono (CO),3216886.029999997
2019,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),20388.679999999986
2018,SERGIPE,Material Particulado (MP),933.3599999999998
2022,PARAIBA,Monóxido de carbono (CO),65.15
2014,MATO GROSSO DO SUL,Monóxido de carbono,9.25
2019,DISTRITO FEDERAL,Material Particulado (MP),63511076.510000005
2020,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),20844.049999999985
2013,AMAPA,Óxidos de nitrogênio (NOx),4775.7699999999995
2013,RONDONIA,Óxidos de enxofre (SOx),5832.37
2014,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),4905.82
2015,SAO PAULO,Cinzas e resíduos contendo chumbo,0.2
2015,ESPIRITO SANTO,Monóxido de carbono (CO),241449.73000000004
2016,MATO GROSSO,Monóxido de carbono (CO),23876.62999999998
2021,MARANHAO,Material Particulado (MP),12922.11
2019,MINAS GERAIS,Partículas (PM10),11.790000000000001
2013,SAO PAULO,"Xilenos (O-xileno, m-xileno ou p-xileno)",4004
2021,CEARA,Óxidos de nitrogênio (NOx),154193.3500000001
2014,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2018,CEARA,Dióxido de enxofre,99.3
2015,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),1237.9499999999998
2019,ACRE,Material Particulado (MP),119.06
2020,ACRE,Óxidos de nitrogênio (NOx),6421.7300000000005
2020,CEARA,Dióxido de enxofre,99.8
2013,BAHIA,Partículas (PM10),1.9
2015,BAHIA,Óxidos de enxofre (SOx),617765.4999999998
2020,MATO GROSSO DO SUL,Material Particulado (MP),22337.279999999988
2013,DISTRITO FEDERAL,Monóxido de carbono (CO),146832.34999999998
2020,PARANA,Monóxido de carbono,54
2020,MARANHAO,Óxidos de nitrogênio (NOx),17279.89
2022,AMAZONAS,Monóxido de carbono (CO),1.01
2019,MARANHAO,Material Particulado (MP),4815.3600000000015
2017,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),12973.439999999997
2015,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),1322.68
2020,RONDONIA,Óxidos de enxofre (SOx),1022.2
2015,TOCANTINS,Óxidos de nitrogênio (NOx),4360.46
2016,SERGIPE,Monóxido de carbono (CO),19062304.430000007
2019,PARAIBA,Material Particulado (MP),15006104.129999999
2021,PARAIBA,Óxidos de enxofre (SOx),9987.210000000001
2020,MARANHAO,Óxidos de enxofre (SOx),23726.979999999996
2015,CEARA,Monóxido de carbono,309
2015,AMAZONAS,Dióxido de enxofre,112.33
2019,PARANA,Material Particulado (MP),69233.78000000006
2015,GOIAS,Monóxido de carbono (CO),89104502.25000003
2021,PIAUI,Monóxido de carbono (CO),9629.26
2014,ACRE,Óxidos de enxofre (SOx),95
2013,MINAS GERAIS,Partículas (PM10),26102.59
2015,PIAUI,Material Particulado (MP),3591.690000000001
2018,ALAGOAS,Monóxido de carbono (CO),51864.85
2013,RONDONIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",610.77
2015,TOCANTINS,Material Particulado (MP),28005.299999999996
2020,AMAPA,Óxidos de enxofre (SOx),0.27
2013,MARANHAO,Monóxido de carbono (CO),4345.79
2013,BAHIA,Monóxido de carbono (CO),2396084.77999999
2013,SAO PAULO,"1,2 - dicloroetano (dicloreto de etileno)",2391
2020,SAO PAULO,Monóxido de carbono (CO),22894420.69999998
2017,MINAS GERAIS,Monóxido de carbono (CO),3321954.23
2016,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),490008142.65000004
2013,RONDONIA,Óxidos de nitrogênio (NOx),20761.95
2020,PARANA,Material Particulado (MP),3521840.7699999977
2016,ALAGOAS,Material Particulado (MP),61456.64999999998
2018,RONDONIA,Monóxido de carbono (CO),89949.62999999998
2017,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),42482.53999999999
2013,RIO DE JANEIRO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",12609.160000000002
2021,SERGIPE,Óxidos de nitrogênio (NOx),8593.750000000002
2013,TOCANTINS,Flúor,0.09
2017,CEARA,Monóxido de carbono (CO),11767457.889999991
2022,PARANA,Material Particulado (MP),3833.95
2019,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),22061.269999999997
2019,TOCANTINS,Monóxido de carbono (CO),6111.330000000002
2022,SAO PAULO,Monóxido de carbono (CO),3650.1000000000004
2014,TOCANTINS,Óxidos de nitrogênio (NOx),4854.170000000001
2021,RORAIMA,Monóxido de carbono (CO),0.63
2014,SAO PAULO,Óxidos de nitrogênio (NOx),5180753.590000001
2020,ESPIRITO SANTO,Monóxido de carbono (CO),173773.62000000005
2017,DISTRITO FEDERAL,Dióxido de enxofre,1020.99
2015,MATO GROSSO,Monóxido de carbono (CO),173787.9600000001
2016,RONDONIA,Óxidos de enxofre (SOx),7572.780000000001
2021,GOIAS,Óxidos de enxofre (SOx),8543.240000000003
2013,RONDONIA,Dióxido de enxofre,18.9
2014,SAO PAULO,Monóxido de carbono,396.25
2015,PARAIBA,Material Particulado (MP),2438449.739999999
2016,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),55400.29
2018,BAHIA,Material Particulado (MP),202850.47000000032
