referencia,estado,poluente_emitido,quantidade
2017,MINAS GERAIS,Óxidos de nitrogênio (NOx),903195.5500000002
2021,TOCANTINS,Óxidos de enxofre (SOx),55.22999999999999
2016,RONDONIA,Monóxido de carbono (CO),125762.04000000001
2014,RIO DE JANEIRO,Monóxido de carbono (CO),1026695.8900000002
2018,TOCANTINS,Óxidos de enxofre (SOx),238229.05999999997
2016,ALAGOAS,Monóxido de carbono (CO),7947.18
2017,RORAIMA,Óxidos de enxofre (SOx),7.47
2021,PERNAMBUCO,Monóxido de carbono (CO),108013.19999999994
2017,PARA,Óxidos de enxofre (SOx),50946.75999999999
2018,GOIAS,Óxidos de enxofre (SOx),12233.610000000004
2015,PIAUI,Óxidos de enxofre (SOx),0.04
2015,RIO DE JANEIRO,Óxidos de enxofre (SOx),15776151.890000002
2019,DISTRITO FEDERAL,Óxidos de enxofre (SOx),103209114.91000003
2019,DISTRITO FEDERAL,Monóxido de carbono (CO),330506128.2
2017,PARA,Material Particulado (MP),30854.879999999986
2014,SAO PAULO,"Álcool etílico não desnaturado, com teor alcoólico em volume menor que 80%",1
2022,AMAZONAS,Óxidos de enxofre (SOx),0.9400000000000001
2014,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),3779.45
2017,ACRE,Monóxido de carbono (CO),10390.51
2022,PARANA,Óxidos de nitrogênio (NOx),3066.5099999999998
2016,SAO PAULO,Dióxido de enxofre,487.15
2017,PARANA,Monóxido de carbono,54.25
2018,SAO PAULO,Óxidos de enxofre (SOx),68626.19999999988
2021,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),22719.599999999984
2019,MINAS GERAIS,Óxidos de nitrogênio (NOx),42774.969999999994
2017,ESPIRITO SANTO,Material Particulado (MP),67858.93
2013,SERGIPE,Monóxido de carbono (CO),820.12
2017,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),18088.12
2017,AMAZONAS,Óxidos de enxofre (SOx),1374.7700000000004
2016,AMAPA,Óxidos de nitrogênio (NOx),20.5
2022,MATO GROSSO,Material Particulado (MP),1827.4099999999999
2015,SAO PAULO,Dióxido de enxofre,489.73
2016,RORAIMA,Material Particulado (MP),2
2021,PERNAMBUCO,Material Particulado (MP),229778.73000000004
2016,CEARA,Óxidos de enxofre (SOx),424400.0600000002
2015,ESPIRITO SANTO,Óxidos de enxofre (SOx),40297.03
2019,PERNAMBUCO,Óxidos de enxofre (SOx),152376.68000000002
2015,AMAZONAS,Material Particulado (MP),110226846.59999995
2020,TOCANTINS,Óxidos de nitrogênio (NOx),1279.3000000000006
2017,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),1137.61
2019,GOIAS,Óxidos de enxofre (SOx),10450.850000000004
2020,MATO GROSSO DO SUL,Dióxido de enxofre,25.9
2015,ACRE,Óxidos de enxofre (SOx),251
2017,DISTRITO FEDERAL,Óxidos de enxofre (SOx),1897.1499999999999
2015,SANTA CATARINA,Material Particulado (MP),209791.1
2017,SANTA CATARINA,Óxidos de enxofre (SOx),109943.03999999995
2021,AMAPA,Material Particulado (MP),10.02
2013,SAO PAULO,Ácido sulfúrico,1496.25
2021,BAHIA,Material Particulado (MP),2114690.3599999994
2013,PARANA,Óxidos de nitrogênio (NOx),1296948.2000000004
2016,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),52.56
2019,CEARA,Monóxido de carbono,232
2013,SAO PAULO,"1,1,1-tricloroetano (metilcloroformio)",2391
2021,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),9127.460000000001
2016,MATO GROSSO DO SUL,Monóxido de carbono (CO),18962.08
2013,MARANHAO,Óxidos de enxofre (SOx),2641539.869999999
2014,PARANA,Óxidos de enxofre (SOx),24807.979999999992
2013,MINAS GERAIS,Óxidos de enxofre (SOx),211252.47000000012
2014,SANTA CATARINA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1305.03
2015,SANTA CATARINA,Óxidos de enxofre (SOx),120347.48
2015,PERNAMBUCO,Material Particulado (MP),84102891374.01004
2016,DISTRITO FEDERAL,Nitrogênio,8426.41
2022,BAHIA,Monóxido de carbono (CO),2337528.66
2013,SANTA CATARINA,Dióxido de enxofre,2028.4299999999998
2014,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),52120.31000000001
2017,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),45812.01000000001
2019,AMAPA,Monóxido de carbono (CO),1695.55
2021,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),10904.679999999997
2014,SAO PAULO,Outros óxidos de chumbo,0.02
2018,SANTA CATARINA,Material Particulado (MP),339375.22000000015
2014,PARA,Óxidos de nitrogênio (NOx),11728.779999999999
2017,MATO GROSSO,Óxidos de enxofre (SOx),10836.130000000003
2015,AMAPA,Material Particulado (MP),46.81
2019,SANTA CATARINA,Monóxido de carbono (CO),284404985.0799999
2017,SAO PAULO,Óxidos de nitrogênio (NOx),1678888.4099999995
2014,AMAZONAS,Material Particulado (MP),104900242.84
2013,TOCANTINS,Desperdícios e resíduos de chumbo,0.12
2013,TOCANTINS,Monóxido de carbono (CO),19954.07
2022,MATO GROSSO,Óxidos de nitrogênio (NOx),84.75
2013,MINAS GERAIS,Mirex (dodecacloro deriv. halog. hidrocarboneto ciclanico),6.99
2019,PARAIBA,Óxidos de enxofre (SOx),2587.9500000000003
