referencia,estado,municipio,quantidade
2013,PARANA,TERRA RICA,500
2014,MATO GROSSO,NOVA MUTUM,1297.0200000000002
2014,RIO GRANDE DO SUL,SERAFINA CORREA,51.43
2013,PARANA,MATELANDIA,409.40999999999997
2021,MATO GROSSO DO SUL,JARDIM,1.3
2018,PARA,PICARRA,1.7
2015,MINAS GERAIS,IMBE DE MINAS,1.4
2021,SAO PAULO,JAU,502.68
2015,MINAS GERAIS,MATUTINA,28.12
2016,SAO PAULO,BEBEDOURO,203377.73999999996
2018,BAHIA,JACOBINA,7.529999999999999
2018,PERNAMBUCO,LIMOEIRO,6
2016,SANTA CATARINA,SAO JOAO BATISTA,0
2018,MINAS GERAIS,CARMO DA MATA,238.32999999999998
2015,MINAS GERAIS,SANTANA DO JACARE,0.05
2020,CEARA,CANINDE,5116.959999999999
2016,PARANA,LOBATO,0.31000000000000005
2019,MINAS GERAIS,CAETANOPOLIS,9.719999999999999
2017,PARANA,PINHAO,135.22
2014,RIO GRANDE DO SUL,DOIS IRMAOS,1.5
2018,PARANA,DOIS VIZINHOS,131.72
2020,PIAUI,SIMOES,5
2014,MATO GROSSO,BOM JESUS DO ARAGUAIA,0.04
2018,RIO GRANDE DO SUL,SOLEDADE,19.62
2018,MINAS GERAIS,BOTELHOS,0.04
2018,ESPIRITO SANTO,SAO MATEUS,125.22999999999999
2013,PERNAMBUCO,SERTANIA,5
2016,RIO GRANDE DO NORTE,PARNAMIRIM,0.1
2019,SANTA CATARINA,MAFRA,430.72999999999996
2018,MINAS GERAIS,ACUCENA,1300
2016,MARANHAO,ESTREITO,1
2021,MINAS GERAIS,CAPELINHA,0.01
2019,PARANA,ITAPEJARA D'OESTE,71.39
2019,SAO PAULO,GUAPIACU,88.48
2021,MINAS GERAIS,PARAGUACU,16.44
2020,BAHIA,JIQUIRICA,0.91
2017,SAO PAULO,TIETE,57958.52999999999
2014,PERNAMBUCO,PAULISTA,32.19
2017,TOCANTINS,BABACULANDIA,0.71
2020,TOCANTINS,DUERE,4.4399999999999995
2021,MINAS GERAIS,INHAPIM,0.5
2013,CEARA,EUSEBIO,99.61
2021,RIO GRANDE DO NORTE,ITAJA,874.82
2020,SANTA CATARINA,JARAGUA DO SUL,2201.2499999999995
2017,PARA,SANTANA DO ARAGUAIA,10.32
2021,PARANA,CAMPINA DA LAGOA,0.01
2020,RONDONIA,ROLIM DE MOURA,2026.22
2014,SAO PAULO,TAQUARITUBA,1.03
2018,RIO GRANDE DO SUL,URUGUAIANA,65.04
2021,PARANA,QUERENCIA DO NORTE,0.33
2020,MINAS GERAIS,SAO TIAGO,0.55
2016,SANTA CATARINA,TANGARA,175.23000000000002
2020,PARA,CAPITAO POCO,0.01
2014,MINAS GERAIS,GRAO MOGOL,9.7
2021,PARANA,QUATRO PONTES,1443.9
2019,SANTA CATARINA,GARUVA,3.22
2015,PARANA,VENTANIA,96.94000000000001
2018,MINAS GERAIS,CONCEICAO DO MATO DENTRO,3109.8999999999996
2021,RONDONIA,PORTO VELHO,3781.400000000002
2016,PARANA,MAUA DA SERRA,12.7
2019,RIO DE JANEIRO,VALENCA,229.31
2021,MINAS GERAIS,ARCOS,1437.3700000000001
2018,MINAS GERAIS,SAO TOMAS DE AQUINO,1.85
2020,CEARA,VICOSA DO CEARA,6.44
2018,SAO PAULO,PALESTINA,488.08
2017,GOIAS,NEROPOLIS,1.29
2013,PARAIBA,BELEM,0.5
2015,MINAS GERAIS,BURITIZEIRO,0.16
2014,RIO GRANDE DO SUL,TORRES,10
2015,SAO PAULO,SUMARE,427.9900000000001
2020,RIO GRANDE DO SUL,CRUZEIRO DO SUL,350.54
2020,MINAS GERAIS,ALEM PARAIBA,14.399999999999999
2017,MINAS GERAIS,MUTUM,32.01
2018,MINAS GERAIS,MENDES PIMENTEL,0.02
2013,ESPIRITO SANTO,MANTENOPOLIS,9236.59
2020,MINAS GERAIS,SANTA RITA DE CALDAS,0.09
2020,CEARA,BARBALHA,0.7899999999999999
2019,PARAIBA,AREIA,15.24
2020,MINAS GERAIS,MALACACHETA,5.9799999999999995
2021,MINAS GERAIS,ITAPAGIPE,2636.48
2014,BAHIA,CARINHANHA,0.16
2014,SANTA CATARINA,PRINCESA,0.63
2016,SAO PAULO,JACAREI,9959.18
2014,PARANA,FAZENDA RIO GRANDE,8.07
2019,RIO GRANDE DO SUL,GLORINHA,4.03
2021,MATO GROSSO DO SUL,CHAPADAO DO SUL,2042.31
2013,SAO PAULO,RIBEIRAO PIRES,446.98999999999995
2021,MATO GROSSO DO SUL,FATIMA DO SUL,2318.36
2021,SANTA CATARINA,ILHOTA,436.03
2014,SAO PAULO,BERNARDINO DE CAMPOS,1
2021,SAO PAULO,ITU,16726.02
2017,PARAIBA,GUARABIRA,15012.51
2013,RIO GRANDE DO NORTE,CRUZETA,3025.7799999999997
2018,MINAS GERAIS,GOIANA,0.01
2017,RIO GRANDE DO SUL,HARMONIA,1.1
2020,MINAS GERAIS,SANTA MARIA DO SUACUI,0.03
2016,SANTA CATARINA,TRES BARRAS,990.4300000000001
2020,MINAS GERAIS,SAO GERALDO,4.129999999999999
2017,RIO GRANDE DO NORTE,AREIA BRANCA,26.5
2016,CEARA,JARDIM,1000
2015,MINAS GERAIS,LAGOA FORMOSA,0.03
2016,RIO GRANDE DO SUL,CONDOR,6
2013,BAHIA,JEQUIE,3651
2018,ESPIRITO SANTO,DOMINGOS MARTINS,465.19
2019,MINAS GERAIS,CARVALHOS,39.3
2017,PERNAMBUCO,MORENO,3286.8
2021,CEARA,ASSARE,950.4
2022,SAO PAULO,LORENA,0.85
2020,MINAS GERAIS,GOUVEIA,113.76000000000002
2019,ESPIRITO SANTO,ICONHA,0.1
2016,PARANA,QUATRO BARRAS,52.01
2014,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,633.1599999999999
2016,PARANA,PARANAVAI,734.3000000000001
2020,PARAIBA,TAPEROA,8.5
2014,RIO DE JANEIRO,ITALVA,0
2014,SAO PAULO,CABREUVA,4.91
2014,GOIAS,PLANALTINA,14189.53
2019,SAO PAULO,ITIRAPINA,22.5
2018,MINAS GERAIS,PADRE PARAISO,0.2
2017,ESPIRITO SANTO,ARACRUZ,85.72999999999999
2016,SAO PAULO,PARAIBUNA,1.4200000000000002
2021,BAHIA,LUIS EDUARDO MAGALHAES,17607.289999999997
2013,MINAS GERAIS,LUMINARIAS,208.8
2019,RIO GRANDE DO SUL,GRAVATAI,325.13999999999993
2018,MINAS GERAIS,CLAUDIO,260.87999999999994
2016,CEARA,SOLONOPOLE,0.2
2020,MINAS GERAIS,ITURAMA,1847.4099999999999
2021,BAHIA,ITAGUACU DA BAHIA,157.58
2015,PARANA,CAPITAO LEONIDAS MARQUES,0.5
2019,PARA,BENEVIDES,2031.82
2016,MATO GROSSO,PEDRA PRETA,68.33
2017,SAO PAULO,ELDORADO,0.01
2017,PARANA,JESUITAS,9.15
2020,MINAS GERAIS,LAGAMAR,0
2017,SAO PAULO,SAO JOSE DOS CAMPOS,15318.380000000006
2017,SAO PAULO,MAIRINQUE,447.68000000000006
2019,MINAS GERAIS,PEQUI,12000
2021,RIO DE JANEIRO,CACHOEIRAS DE MACACU,41.910000000000004
2018,SAO PAULO,DOIS CORREGOS,10.870000000000001
2017,RIO GRANDE DO NORTE,OURO BRANCO,0
2017,MINAS GERAIS,SENADOR FIRMINO,15.15
2017,SAO PAULO,ESTIVA GERBI,2.3899999999999997
2020,SANTA CATARINA,CRICIUMA,3869.900000000001
2017,SAO PAULO,AMERICANA,693.2999999999997
2017,AMAZONAS,SAO GABRIEL DA CACHOEIRA,2800
2021,SAO PAULO,NAZARE PAULISTA,0
2021,SANTA CATARINA,CURITIBANOS,1054.99
2019,ESPIRITO SANTO,ITARANA,0.74
2019,MINAS GERAIS,INGAI,0.08
2021,SAO PAULO,CAJURU,4801.64
2017,MINAS GERAIS,LAGOA SANTA,1.87
2018,BAHIA,SERRA DOURADA,0.04
2020,RONDONIA,BURITIS,10.01
2017,SANTA CATARINA,PONTE SERRADA,30.9
2017,RIO GRANDE DO SUL,HORIZONTINA,4.32
2014,MATO GROSSO,RONDONOPOLIS,741.65
2019,PARA,TUCUMA,20.3
2013,ALAGOAS,SAO LUIS DO QUITUNDE,1263.12
2013,MARANHAO,ZE DOCA,6
2016,GOIAS,LUZIANIA,474.61
2014,MINAS GERAIS,MAR DE ESPANHA,21531.89
2015,RONDONIA,COLORADO DO OESTE,7.640000000000001
2016,BAHIA,SENHOR DO BONFIM,19.1
2015,MINAS GERAIS,LAGOA DA PRATA,2216.1300000000006
2014,TOCANTINS,ITACAJA,4.5
2018,BAHIA,ITAGIBA,2
2020,SAO PAULO,MORRO AGUDO,959.3
2018,RIO GRANDE DO SUL,ERECHIM,98.81000000000002
2016,MARANHAO,BALSAS,0.01
2017,SAO PAULO,URUPES,0
2019,MINAS GERAIS,ITINGA,367.76
2014,BAHIA,BRUMADO,21686.77
2014,SANTA CATARINA,IBIRAMA,2.14
2020,MINAS GERAIS,TABULEIRO,80
2018,MINAS GERAIS,BOM DESPACHO,26547.75
2018,MATO GROSSO DO SUL,BATAYPORA,464.78000000000003
2019,ESPIRITO SANTO,COLATINA,66.64000000000001
2015,RONDONIA,VILHENA,527.06
2018,SAO PAULO,OSASCO,534.9
2019,SAO PAULO,URUPES,0
2018,MINAS GERAIS,IJACI,1116.8600000000001
2018,MINAS GERAIS,INHAPIM,105
2021,RIO GRANDE DO SUL,SANTO AUGUSTO,0.31000000000000005
2015,SANTA CATARINA,CORONEL FREITAS,82000
2016,SAO PAULO,ENGENHEIRO COELHO,4
2014,MINAS GERAIS,CONSELHEIRO LAFAIETE,116.01
2013,MINAS GERAIS,PITANGUI,5.43
2020,MINAS GERAIS,OLIMPIO NORONHA,0.52
2020,RIO GRANDE DO SUL,MUCUM,2.2
2021,PERNAMBUCO,PRIMAVERA,0.01
2019,RONDONIA,CANDEIAS DO JAMARI,0.02
2019,TOCANTINS,MONTE SANTO DO TOCANTINS,0.25
2015,CEARA,IGUATU,155.68999999999997
2014,MINAS GERAIS,CORDISBURGO,0.3
2017,MINAS GERAIS,GUAPE,0
2015,MINAS GERAIS,JUIZ DE FORA,28215.09
2013,AMAZONAS,SAO GABRIEL DA CACHOEIRA,24348
2013,RIO GRANDE DO SUL,ESTACAO,11145.6
2013,MINAS GERAIS,WENCESLAU BRAZ,36
2021,BAHIA,IBIRAPUA,260.70000000000005
2016,SAO PAULO,CAMPOS DO JORDAO,1.43
2014,TOCANTINS,SAO VALERIO DA NATIVIDADE,0.02
2015,SANTA CATARINA,TROMBUDO CENTRAL,79.1
2021,SAO PAULO,SANTA BARBARA D'OESTE,3835.2800000000007
2015,MATO GROSSO,JUARA,3.1
2021,SANTA CATARINA,MELEIRO,171.86999999999998
2017,SANTA CATARINA,AURORA,47.95
2018,RIO GRANDE DO NORTE,SAO JOSE DO SERIDO,0
2015,MINAS GERAIS,BELMIRO BRAGA,22001
2020,MINAS GERAIS,UBERABA,40308.79000000001
2018,MINAS GERAIS,MONTES CLAROS,3332.630000000001
2020,ACRE,FEIJO,354.3
2019,MINAS GERAIS,ABRE CAMPO,3
2016,MATO GROSSO DO SUL,VICENTINA,1.23
2015,RIO GRANDE DO SUL,ESTACAO,11145.6
2016,PARAIBA,SAO DOMINGOS DE POMBAL,0.6
2013,PARANA,FERNANDES PINHEIRO,47.699999999999996
2016,SAO PAULO,DIADEMA,272.98
2018,PARANA,PIRAQUARA,2.56
2013,MATO GROSSO,MIRASSOL D'OESTE,315.77
2018,RIO GRANDE DO SUL,FARROUPILHA,2718.0600000000004
2013,SAO PAULO,SUZANAPOLIS,278.89
2021,SAO PAULO,GUATAPARA,60.02
2018,RIO DE JANEIRO,RIO DAS OSTRAS,4227.04
2019,SAO PAULO,ITAPUI,10
2014,SANTA CATARINA,TREVISO,309.38
2018,MINAS GERAIS,NOVA PONTE,0.53
2013,RIO DE JANEIRO,PINHEIRAL,506129.88
2018,PARANA,ENEAS MARQUES,312.29
2014,PARA,XINGUARA,7.2
2019,SANTA CATARINA,AGUAS MORNAS,21.39
2016,RIO DE JANEIRO,SEROPEDICA,4358.54
2018,PIAUI,PIRIPIRI,752
2018,BAHIA,CONDE,120
2016,MINAS GERAIS,BANDEIRA DO SUL,0.2
2019,SAO PAULO,AVANHANDAVA,560.99
2020,ESPIRITO SANTO,IBIRACU,0.02
2014,SAO PAULO,COTIA,269537.35000000003
2017,PARANA,LOANDA,13620.26
2015,BAHIA,PAULO AFONSO,2.7
2016,PARA,ALMEIRIM,24158.53
2015,PARAIBA,NOVA PALMEIRA,0.05
2016,SAO PAULO,SAO JOAQUIM DA BARRA,4634.9800000000005
2019,RIO GRANDE DO SUL,SAO JOAO DO POLESINE,3.5
2015,MINAS GERAIS,JOAO PINHEIRO,1431557.03
2019,MINAS GERAIS,DIVINOPOLIS,554.7199999999997
2017,SAO PAULO,CRAVINHOS,6.82
2016,RIO GRANDE DO SUL,PALMITINHO,0.13
2021,GOIAS,VICENTINOPOLIS,434.72
2020,MINAS GERAIS,BOM SUCESSO,11
2018,GOIAS,CACHOEIRA ALTA,1.05
2020,PERNAMBUCO,LAGOA DO ITAENGA,36303.32
2016,PARANA,SIQUEIRA CAMPOS,40.39
2014,SAO PAULO,QUINTANA,1.89
2015,RIO GRANDE DO SUL,AJURICABA,1
2014,MINAS GERAIS,CORONEL FABRICIANO,0.25
2013,PIAUI,TERESINA,390.5
2019,SAO PAULO,SAO JOSE DO RIO PARDO,190.14999999999998
2013,PARAIBA,SOLEDADE,0.31
2016,RONDONIA,COLORADO DO OESTE,10.3
2018,BAHIA,URUCUCA,0.38
2022,GOIAS,GOIANIA,2.41
2017,MINAS GERAIS,SAO GOTARDO,2.38
2019,MINAS GERAIS,PEDRALVA,1
2015,MINAS GERAIS,DIONISIO,58122
2018,SAO PAULO,LEME,2749.11
2019,RIO GRANDE DO SUL,CARLOS BARBOSA,110.15
2015,PARANA,BOCAIUVA DO SUL,39.349999999999994
2021,MARANHAO,CARUTAPERA,6
2019,SANTA CATARINA,PRESIDENTE GETULIO,72.71000000000001
2021,SAO PAULO,GUARATINGUETA,1929.24
2017,SAO PAULO,OLIMPIA,3074.46
2021,SAO PAULO,TABOAO DA SERRA,37.07000000000001
2016,SAO PAULO,ARCO-IRIS,0.1
2021,GOIAS,DAMOLANDIA,10
2021,MINAS GERAIS,ITABIRITO,10229.83
2015,RIO DE JANEIRO,QUEIMADOS,901.6699999999998
2019,RONDONIA,PIMENTA BUENO,18.279999999999998
2018,MINAS GERAIS,MONTE ALEGRE DE MINAS,1.5
2013,SAO PAULO,CORUMBATAI,9.030000000000001
2017,SAO PAULO,GUARA,2.3
2021,SANTA CATARINA,SAO LOURENCO DO OESTE,41658.37
2021,MINAS GERAIS,CLAUDIO,225.15
2018,MINAS GERAIS,BELO VALE,1.24
2020,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,721.8499999999998
2015,RIO GRANDE DO SUL,MUITOS CAPOES,0.01
2016,SANTA CATARINA,BOTUVERA,2458.59
2015,SAO PAULO,CANDIDO RODRIGUES,0.12
2020,RIO DE JANEIRO,SAQUAREMA,1
2014,PARANA,LONDRINA,491.4200000000001
2014,MINAS GERAIS,COMERCINHO,0
2017,SAO PAULO,APIAI,2305.33
2014,GOIAS,SANTA ROSA DE GOIAS,1
2016,SAO PAULO,VARGEM,22.46
2016,PARANA,CAMBE,53.36
2019,GOIAS,APARECIDA DE GOIANIA,6074.680000000001
2021,SAO PAULO,MIRANDOPOLIS,175.4
2013,PARA,IRITUIA,1082.9099999999999
2015,SERGIPE,NOSSA SENHORA DA GLORIA,3.6700000000000004
2021,RIO GRANDE DO SUL,SALVADOR DO SUL,26.070000000000004
2013,SAO PAULO,DUMONT,0.02
2018,SAO PAULO,ATIBAIA,375.73
2014,MATO GROSSO,PEDRA PRETA,202.1
2021,MARANHAO,DAVINOPOLIS,0.01
2018,RIO GRANDE DO SUL,ALMIRANTE TAMANDARE DO SUL,403.5
2019,MARANHAO,CAMPESTRE DO MARANHAO,766.04
2019,PARAIBA,MATARACA,12.75
2017,PARANA,SAO MATEUS DO SUL,2844.4500000000003
2015,RIO DE JANEIRO,RESENDE,908.32
2016,PARANA,CHOPINZINHO,266.55
2020,PERNAMBUCO,FREI MIGUELINHO,0.01
2017,GOIAS,FORMOSA,68.54
2016,SAO PAULO,ARIRANHA,3011.4300000000003
2020,SANTA CATARINA,ORLEANS,76.49000000000001
2019,RIO GRANDE DO SUL,TEUTONIA,7033.47
2021,ALAGOAS,PALMEIRA DOS INDIOS,0.01
2020,PERNAMBUCO,FEIRA NOVA,0.03
2015,CEARA,GRANJA,0.01
2013,RONDONIA,CACOAL,1095.28
2015,PARAIBA,CAAPORA,3833.41
2019,MINAS GERAIS,PRESIDENTE OLEGARIO,1757.3700000000001
2013,RIO GRANDE DO SUL,ESTANCIA VELHA,40.54
2015,SAO PAULO,SAO PAULO,2489167.06
2019,SAO PAULO,HORTOLANDIA,7426.300000000001
2016,RIO GRANDE DO SUL,PEDRO OSORIO,0.22
2013,SAO PAULO,GABRIEL MONTEIRO,0.37
2017,SAO PAULO,PARAPUA,457.01
2022,SAO PAULO,ITAPIRA,70.79
2019,MINAS GERAIS,TARUMIRIM,0.01
2017,SAO PAULO,ELIAS FAUSTO,464.76000000000005
2019,MINAS GERAIS,SANTA BARBARA DO MONTE VERDE,13.82
2016,SANTA CATARINA,BRUSQUE,1417.6200000000001
2013,MARANHAO,SAO LUIS,4137307.7100000004
2018,MINAS GERAIS,PASSOS,891.54
2016,RIO GRANDE DO NORTE,MACAIBA,62.05
2017,SANTA CATARINA,TUBARAO,544.39
2021,PARANA,CIDADE GAUCHA,992.3600000000001
2014,BAHIA,SANTO AMARO,124.25
2017,MINAS GERAIS,BOM DESPACHO,24389.69
2016,BAHIA,CONDE,120
2021,RIO GRANDE DO SUL,HULHA NEGRA,58
2017,RIO GRANDE DO SUL,RESTINGA SECA,5
2013,ESPIRITO SANTO,VENDA NOVA DO IMIGRANTE,116.63
2021,RIO DE JANEIRO,CARMO,0.04
2016,SAO PAULO,ITAPUI,17
2014,RIO GRANDE DO SUL,BOZANO,1
2021,PERNAMBUCO,PAUDALHO,8822.249999999998
2013,SAO PAULO,AMPARO,315.27000000000004
2020,RIO GRANDE DO NORTE,ACARI,2175456
2017,RIO GRANDE DO SUL,TENENTE PORTELA,0.5
2020,SAO PAULO,TRABIJU,2.97
2015,RONDONIA,ARIQUEMES,10.23
2014,MATO GROSSO DO SUL,CAMPO GRANDE,7846.46
2015,RIO GRANDE DO SUL,PINHEIRINHO DO VALE,0.05
2021,MATO GROSSO,JURUENA,23.78
2018,ALAGOAS,CORURIPE,1431.88
2020,MINAS GERAIS,INDIANOPOLIS,4052.2599999999998
2021,SAO PAULO,IPORANGA,1
2018,SANTA CATARINA,MELEIRO,85.63
2017,SAO PAULO,ITATINGA,1
2014,GOIAS,NIQUELANDIA,21998.629999999997
2014,GOIAS,CRISTALINA,57901
2020,PARANA,PALOTINA,484.08000000000004
2014,MINAS GERAIS,PAULA CANDIDO,0.64
2013,MATO GROSSO DO SUL,ARAL MOREIRA,14.84
2019,CEARA,PIQUET CARNEIRO,14.010000000000002
2020,TOCANTINS,BARROLANDIA,0.02
2016,PARANA,QUATIGUA,53.84
2019,SAO PAULO,REGINOPOLIS,0.01
2020,MATO GROSSO,SAPEZAL,6.67
2015,SAO PAULO,RANCHARIA,30.56
2019,MINAS GERAIS,ALPERCATA,0.1
2017,PARANA,MOREIRA SALES,8141.6
2020,SAO PAULO,PALMITAL,198.02999999999997
2021,PARANA,SANTA HELENA,818.45
2015,MINAS GERAIS,ITABIRITO,52329.12
2019,PARA,VISEU,0.6
2016,MINAS GERAIS,TOCANTINS,7.67
2021,RIO GRANDE DO SUL,CANGUCU,29.81
2019,MINAS GERAIS,POTE,0.02
2014,MINAS GERAIS,MARIANA,649
2021,SAO PAULO,UBATUBA,1.82
2013,MINAS GERAIS,NAQUE,0.01
2020,MINAS GERAIS,MERCES,38.05
2021,SAO PAULO,FARTURA,1.04
2016,PARANA,COLORADO,466.26000000000005
2016,PIAUI,ILHA GRANDE,1540
2015,SANTA CATARINA,ARAQUARI,3100.8300000000004
2016,SAO PAULO,PEDERNEIRAS,53.79
2019,MATO GROSSO DO SUL,DOIS IRMAOS DO BURITI,0.91
2016,PARAIBA,PILOES,0.5
2019,SAO PAULO,ITAQUAQUECETUBA,1356.8700000000001
2018,RIO GRANDE DO NORTE,JOAO CAMARA,0.05
2019,SAO PAULO,ESTRELA D'OESTE,0.02
2013,SANTA CATARINA,URUSSANGA,8.04
2015,PARAIBA,RIO TINTO,871.02
2013,MINAS GERAIS,RIO CASCA,0.05
2013,MATO GROSSO,VILA RICA,3600
2020,PERNAMBUCO,PESQUEIRA,0
2018,MINAS GERAIS,SAO DOMINGOS DO PRATA,0.22000000000000003
2013,SAO PAULO,SAO PEDRO,30.01
2015,MINAS GERAIS,TIROS,2.19
2017,SAO PAULO,GUARACAI,7810
2017,RIO DE JANEIRO,ANGRA DOS REIS,0
2021,PERNAMBUCO,SANTA CRUZ DO CAPIBARIBE,716.74
2018,MATO GROSSO DO SUL,RIO NEGRO,42.839999999999996
2021,RIO GRANDE DO SUL,SANTANA DO LIVRAMENTO,0.04
2014,SAO PAULO,QUATA,909
2020,RIO GRANDE DO SUL,JULIO DE CASTILHOS,5.7
2018,RIO GRANDE DO SUL,ESPUMOSO,1.6
2018,MINAS GERAIS,PASSA QUATRO,17291.320000000003
2021,ESPIRITO SANTO,VARGEM ALTA,0.24
2016,BAHIA,ITAMBE,1
2015,RIO GRANDE DO NORTE,SAO JOSE DO CAMPESTRE,0
2019,SAO PAULO,IPUA,9.930000000000001
2015,TOCANTINS,MIRANORTE,280
2015,PARANA,PALMEIRA,10.76
2021,SAO PAULO,ITAPORANGA,1725
2018,SAO PAULO,CAMPINA DO MONTE ALEGRE,10
2013,MINAS GERAIS,VICOSA,1305.52
2014,BAHIA,LUIS EDUARDO MAGALHAES,1333.95
2019,SAO PAULO,CESARIO LANGE,81.19000000000001
2013,PARA,RONDON DO PARA,730
2018,PERNAMBUCO,SAO BENTO DO UNA,18110
2020,SAO PAULO,SANTA ALBERTINA,794.4
2017,TOCANTINS,WANDERLANDIA,1.2
2020,SAO PAULO,ATIBAIA,64.73
2019,SAO PAULO,BOTUCATU,1623.6299999999999
2017,BAHIA,BARRA,0.04
2019,RONDONIA,ITAPUA DO OESTE,4930
2020,MINAS GERAIS,MARMELOPOLIS,0.01
2021,ESPIRITO SANTO,CARIACICA,662.43
2015,RIO GRANDE DO SUL,ESTEIO,10.18
2017,MARANHAO,BACABEIRA,0.01
2016,MINAS GERAIS,JANUARIA,2200
2018,MINAS GERAIS,ANDRELANDIA,261.86
2014,SAO PAULO,UBARANA,499.35
2016,PARANA,IRATI,410.41
2020,SANTA CATARINA,TRES BARRAS,1376.06
2014,MINAS GERAIS,VISCONDE DO RIO BRANCO,23470.09999999999
2019,MINAS GERAIS,UBA,300178.25
2020,SAO PAULO,POTIM,552.17
2014,SAO PAULO,PINDORAMA,3.46
2016,ESPIRITO SANTO,VENDA NOVA DO IMIGRANTE,9.24
2017,RIO DE JANEIRO,COMENDADOR LEVY GASPARIAN,14.11
2015,GOIAS,INHUMAS,3707.0400000000004
2016,RIO GRANDE DO NORTE,TANGARA,0
2014,RIO GRANDE DO NORTE,GUAMARE,1642.71
2016,PARANA,FIGUEIRA,5.27
2017,RIO GRANDE DO SUL,SANTA BARBARA DO SUL,3
2020,AMAZONAS,BOCA DO ACRE,850
2016,SAO PAULO,TARABAI,0.02
2014,MINAS GERAIS,UNAI,43.34
2016,PERNAMBUCO,PAUDALHO,0.08
2016,BAHIA,IBIASSUCE,0.2800000000000001
2013,SAO PAULO,QUINTANA,0.48
2021,CEARA,IGUATU,485
2017,PERNAMBUCO,TUPARETAMA,15
2018,PARANA,SANTO INACIO,489.25
2014,RIO GRANDE DO SUL,TUCUNDUVA,0.71
2015,GOIAS,ITABERAI,10.36
2016,SAO PAULO,TIETE,5958.51
2020,PARAIBA,PILOEZINHOS,1
2016,SAO PAULO,PIRACICABA,5040.27
2021,SANTA CATARINA,SAO JOSE DO CEDRO,4.66
2015,PARANA,SAUDADE DO IGUACU,15.42
2021,TOCANTINS,DUERE,6.4399999999999995
2022,MINAS GERAIS,SETE LAGOAS,114.92
2015,SAO PAULO,SERRA AZUL,6.029999999999999
2013,MATO GROSSO DO SUL,ITAQUIRAI,355.09
2014,ALAGOAS,IGREJA NOVA,327.16
2014,PARAIBA,SANTA LUZIA,2.3299999999999996
2016,CEARA,HORIZONTE,0.63
2015,PARANA,REBOUCAS,26
2021,PARA,PARAUAPEBAS,542
2021,BAHIA,SANTA MARIA DA VITORIA,47.849999999999994
2020,CEARA,QUIXERE,6690.460000000001
2013,BAHIA,PARATINGA,0.04
2019,GOIAS,COCALZINHO DE GOIAS,9.28
2020,RONDONIA,ALTO PARAISO,138.43
2020,MINAS GERAIS,CONGONHAS,136.52999999999997
2015,MATO GROSSO DO SUL,CAARAPO,406.33
2013,RIO GRANDE DO SUL,CACEQUI,1
2017,SAO PAULO,SAO VICENTE,80.35
2016,MINAS GERAIS,CARMO DE MINAS,0.06
2019,ESPIRITO SANTO,GOVERNADOR LINDENBERG,0.01
2014,PARA,PARAGOMINAS,40.6
2013,ESPIRITO SANTO,ITARANA,205
2016,PARANA,SAO JOAO DO TRIUNFO,0.02
2017,SAO PAULO,SANTA GERTRUDES,2000.35
2017,SANTA CATARINA,PARAISO,0.52
2015,PARA,IPIXUNA DO PARA,1.11
2022,MINAS GERAIS,GOVERNADOR VALADARES,13.95
2017,PARANA,CORONEL VIVIDA,88.71
2021,PARANA,QUATIGUA,11.66
2020,SANTA CATARINA,PINHEIRO PRETO,90.12
2013,MINAS GERAIS,CAMPO FLORIDO,1435.88
2015,ESPIRITO SANTO,VARGEM ALTA,0.2
2018,CEARA,BOA VIAGEM,0.1
2020,PARAIBA,CRUZ DO ESPIRITO SANTO,0.84
2019,RIO GRANDE DO NORTE,PEDRA GRANDE,0.5
2013,AMAZONAS,COARI,8300.35
2016,SAO PAULO,PEDREIRA,22417.310000000005
2021,PARA,RIO MARIA,1
2019,MATO GROSSO,ALTA FLORESTA,7507.05
2021,ESPIRITO SANTO,JOAO NEIVA,649.12
2019,SAO PAULO,NUPORANGA,450
2020,MINAS GERAIS,NANUQUE,269.23
2017,PARANA,SANTA TEREZINHA DE ITAIPU,0.37
2019,SAO PAULO,LARANJAL PAULISTA,6726.25
2016,PERNAMBUCO,BOM CONSELHO,0.01
2021,SANTA CATARINA,RODEIO,5.58
2014,SAO PAULO,COLOMBIA,1983.4299999999998
2017,MATO GROSSO DO SUL,BODOQUENA,902.3199999999999
2021,SAO PAULO,ITAPETININGA,1535.04
2017,MINAS GERAIS,CAETE,0.01
2019,RIO DE JANEIRO,PORTO REAL,525.75
2016,SAO PAULO,SUMARE,433.60000000000014
2020,SANTA CATARINA,SALTO VELOSO,646.1300000000001
2021,MINAS GERAIS,BOTUMIRIM,263.41
2017,MINAS GERAIS,PORTO FIRME,2.2199999999999998
2020,PARANA,CASTRO,5234.75
2015,TOCANTINS,AGUIARNOPOLIS,4728.5
2016,PARANA,IBIPORA,110.67999999999999
2016,PARANA,SAO CARLOS DO IVAI,5698.870000000001
2014,PARAIBA,TENORIO,0.61
2019,SAO PAULO,TUIUTI,0.03
2018,RIO GRANDE DO SUL,TAPES,25
2017,PARANA,VIRMOND,25.11
2014,RIO GRANDE DO SUL,MANOEL VIANA,3.54
2019,SAO PAULO,PINDAMONHANGABA,3220.0400000000004
