referencia,estado,municipio,quantidade
2014,MINAS GERAIS,SAO ROQUE DE MINAS,0.01
2020,SAO PAULO,ITAPEVA,90.19999999999999
2021,AMAPA,MACAPA,1312.61
2016,PARAIBA,MULUNGU,5.5
2015,PERNAMBUCO,SAO LOURENCO DA MATA,0.5
2021,SAO PAULO,SOCORRO,6715122.76
2015,BAHIA,MADRE DE DEUS,504
2015,MINAS GERAIS,CALDAS,33.949999999999996
2019,MATO GROSSO DO SUL,TRES LAGOAS,12118.3
2016,RIO GRANDE DO SUL,CAICARA,0.03
2016,BAHIA,MORRO DO CHAPEU,1
2021,TOCANTINS,DARCINOPOLIS,0
2018,BAHIA,BARROCAS,0.35
2014,ESPIRITO SANTO,CONCEICAO DA BARRA,1220.9099999999999
2018,SANTA CATARINA,CANELINHA,1173.5
2014,PARANA,CAMBE,4949.97
2015,PARANA,CERRO AZUL,0.3
2014,MINAS GERAIS,DIVINO,0.01
2014,SAO PAULO,JAGUARIUNA,6049.429999999999
2021,PARANA,CASCAVEL,1193.9499999999996
2013,MATO GROSSO DO SUL,COXIM,149980.89
2013,MINAS GERAIS,TAIOBEIRAS,43
2014,SAO PAULO,CARAGUATATUBA,7304.13
2019,BAHIA,BOQUIRA,85.87
2021,TOCANTINS,SANTA MARIA DO TOCANTINS,1.5000000000000002
2017,PARANA,PARANACITY,2067.85
2015,PARANA,VIRMOND,25096.78
2014,PARANA,CAMPO MOURAO,46585.42
2015,MINAS GERAIS,JEQUERI,1
2019,MINAS GERAIS,PRATA,878.66
2013,PARANA,PORTO VITORIA,4.43
2018,RIO GRANDE DO SUL,NONOAI,251
2019,PARA,SAO JOAO DO ARAGUAIA,200
2015,GOIAS,SANTA BARBARA DE GOIAS,5.01
2017,RIO GRANDE DO SUL,FELIZ,24.02
2017,MINAS GERAIS,CARVALHOS,39.3
2013,SAO PAULO,ARUJA,647.59
2013,SAO PAULO,QUATA,1809
2020,MINAS GERAIS,BELO HORIZONTE,1676.55
2016,GOIAS,ITAUCU,0.07
2018,PARANA,LOANDA,1750.18
2018,PARA,CASTANHAL,462.67
2020,SAO PAULO,GUATAPARA,58.12
2016,MINAS GERAIS,PIRAJUBA,220750
2018,PARAIBA,OLIVEDOS,120
2016,GOIAS,CALDAS NOVAS,0.1
2017,MINAS GERAIS,BORDA DA MATA,0.19999999999999998
2018,SAO PAULO,SAO PEDRO,20.820000000000004
2021,MINAS GERAIS,PARA DE MINAS,2056.7799999999997
2019,MINAS GERAIS,SAO JOAQUIM DE BICAS,84.35000000000001
2021,SANTA CATARINA,APIUNA,116.16
